regime,n,positive_count,negative_count,metric,method,estimate,ci_low,ci_high,valid_bootstrap_replicates,status
undecidable-negative,4088,28,4060,AUROC,AllTime DerivCount,0.9049832864180155,0.8306626948883299,0.9664472373309538,10000,estimable
undecidable-negative,4088,28,4060,AP,AllTime DerivCount,0.3469347465562709,0.17734578467775122,0.5475352274033642,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,AllTime DerivCount,46.29268292682927,26.844277673545967,61.72357723577236,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,AllTime DerivCount,13.531707317073172,9.970731707317073,16.950243902439023,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,AllTime DerivCount,8.567237163814182,7.139364303178484,9.68276283618582,10000,estimable
undecidable-negative,4088,28,4060,AUROC,Current DerivCount,0.6745909570724842,0.5867836937725159,0.7691503543800027,10000,estimable
undecidable-negative,4088,28,4060,AP,Current DerivCount,0.1260202562263738,0.040837310452139175,0.3000396518302952,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,Current DerivCount,28.487804878048784,11.964878048780488,45.699186991869915,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,Current DerivCount,7.121951219512196,3.625720620842572,10.877161862527716,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,Current DerivCount,3.9266503667481665,2.082314588427058,5.859202428125791,10000,estimable
undecidable-negative,4088,28,4060,AUROC,Vanilla PageRank,0.9032063687543983,0.8291862209590328,0.9646325146247086,10000,estimable
undecidable-negative,4088,28,4060,AP,Vanilla PageRank,0.34828659379474425,0.1769784383914293,0.5372947552457277,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,Vanilla PageRank,39.170731707317074,22.660753880266075,57.725288831835684,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,Vanilla PageRank,13.531707317073172,9.970731707317073,16.920029563932005,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,Vanilla PageRank,8.567237163814182,7.139364303178484,9.68276283618582,10000,estimable
undecidable-negative,4088,28,4060,AUROC,Temporal Vanilla PageRank,0.8919071076706545,0.7950471271817802,0.9708344904344678,10000,estimable
undecidable-negative,4088,28,4060,AP,Temporal Vanilla PageRank,0.35205919678027825,0.18047505455157647,0.541652122955367,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,Temporal Vanilla PageRank,39.170731707317074,22.660753880266075,57.89457120377656,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,Temporal Vanilla PageRank,13.531707317073172,9.970731707317073,16.920029563932005,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,Temporal Vanilla PageRank,8.567237163814182,7.139364303178484,9.68276283618582,10000,estimable
undecidable-negative,4088,28,4060,AUROC,Downloads,0.9861321252638987,0.9765000646675992,0.9942163429080235,10000,estimable
undecidable-negative,4088,28,4060,AP,Downloads,0.6620258457061161,0.4874479466025832,0.8168396206319457,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,Downloads,67.65853658536587,49.853658536585364,83.08943089430895,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,Downloads,16.38048780487805,13.294308943089431,19.14380487804878,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,Downloads,9.995110024449877,9.995110024449877,9.995110024449877,10000,estimable
