regime,n,positive_count,negative_count,metric,left_method,right_method,left_estimate,right_estimate,difference,ci_low,ci_high,raw_p_value,valid_bootstrap_replicates,status,holm_p_value
confirmed-only,4057,28,4029,Top-10% lift,S_C3_Q10,Downloads,9.992610837438423,9.992610837438423,0.0,0.0,0.0,1.0,10000,estimable,1.0
confirmed-only,4057,28,4029,AUROC,S_C3_Q10,Likes,0.9785040598517888,0.9503022728078573,0.028201787043931503,-0.011767457317555343,0.08679893722297223,0.2753724627537246,10000,estimable,1.0
confirmed-only,4057,28,4029,AP,S_C3_Q10,Likes,0.27380509207953035,0.609370629380257,-0.33556553730072664,-0.48646634880546524,-0.15811063047972723,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-1% lift,S_C3_Q10,Likes,35.3397212543554,63.61149825783972,-28.271777003484317,-49.47560975609757,-13.6484440706476,0.00039996000399960006,10000,estimable,0.009999000099990002
confirmed-only,4057,28,4029,Top-5% lift,S_C3_Q10,Likes,16.41643209007741,17.130190007037296,-0.7137579169598851,-2.2840253342716412,1.7378453630327684,0.9257074292570743,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-10% lift,S_C3_Q10,Likes,9.992610837438423,8.921973961998592,1.0706368754398312,0.0,2.3791930565329578,0.10698930106989302,10000,estimable,1.0
confirmed-only,4057,28,4029,AUROC,Submitted Full ModelRank,AllTime DerivCount,0.9896553558132114,0.9064106655320356,0.08324469028117576,0.022473566633860173,0.1556494880125045,0.00039996000399960006,10000,estimable,0.007199280071992801
confirmed-only,4057,28,4029,AP,Submitted Full ModelRank,AllTime DerivCount,0.47883237445478893,0.35988524432014435,0.11894713013464459,-0.004933834997424875,0.26786083207389255,0.058194180581941805,10000,estimable,0.581941805819418
confirmed-only,4057,28,4029,Top-1% lift,Submitted Full ModelRank,AllTime DerivCount,67.14547038327527,45.94163763066202,21.203832752613245,2.748644986449868,37.533221194280905,0.047995200479952004,10000,estimable,0.6719328067193281
confirmed-only,4057,28,4029,Top-5% lift,Submitted Full ModelRank,AllTime DerivCount,17.843947923997185,13.56140042223786,4.282547501759325,0.9992610837438409,8.17577250335871,0.0235976402359764,10000,estimable,0.42115788421157885
confirmed-only,4057,28,4029,Top-10% lift,Submitted Full ModelRank,AllTime DerivCount,9.992610837438423,8.565095003518648,1.4275158339197755,0.30280638901328594,2.8550316678395493,0.0413958604139586,10000,estimable,0.8693130686931306
confirmed-only,4057,28,4029,AUROC,Submitted Full ModelRank,Current DerivCount,0.9896553558132114,0.6746578378186717,0.3149975179945397,0.22358849985430546,0.400641025535335,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AP,Submitted Full ModelRank,Current DerivCount,0.47883237445478893,0.12674403217864255,0.3520883422761464,0.23191210071926782,0.4907021276220879,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-1% lift,Submitted Full ModelRank,Current DerivCount,67.14547038327527,28.27177700348432,38.87369337979095,19.029080675422144,54.59377628259042,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-5% lift,Submitted Full ModelRank,Current DerivCount,17.843947923997185,7.137579169598874,10.70636875439831,7.136427947152164,14.695015937409444,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-10% lift,Submitted Full ModelRank,Current DerivCount,9.992610837438423,3.925668543279381,6.066942294159043,4.207415089447757,7.872966114345425,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AUROC,Submitted Full ModelRank,Vanilla PageRank,0.9896553558132114,0.9046333723362763,0.08502198347693513,0.02436407722613445,0.1567198441008309,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AP,Submitted Full ModelRank,Vanilla PageRank,0.47883237445478893,0.35767204790248264,0.1211603265523063,-0.001183230360642136,0.2817181423533941,0.05219478052194781,10000,estimable,0.5741425857414258
confirmed-only,4057,28,4029,Top-1% lift,Submitted Full ModelRank,Vanilla PageRank,67.14547038327527,38.87369337979094,28.271777003484324,7.067944250871079,42.87886178861788,0.0103989601039896,10000,estimable,0.1975802419758024
confirmed-only,4057,28,4029,Top-5% lift,Submitted Full ModelRank,Vanilla PageRank,17.843947923997185,13.56140042223786,4.282547501759325,0.9992610837438427,8.17577250335871,0.023397660233976603,10000,estimable,0.42115788421157885
confirmed-only,4057,28,4029,Top-10% lift,Submitted Full ModelRank,Vanilla PageRank,9.992610837438423,8.565095003518648,1.4275158339197755,0.30280638901328594,2.8550316678395493,0.0413958604139586,10000,estimable,0.8693130686931306
confirmed-only,4057,28,4029,AUROC,Submitted Full ModelRank,Temporal Vanilla PageRank,0.9896553558132114,0.893216147218381,0.09643920859483035,0.018945343690373796,0.19184570023203396,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AP,Submitted Full ModelRank,Temporal Vanilla PageRank,0.47883237445478893,0.36201880848056806,0.11681356597422088,-0.006165612590945404,0.2767657445715284,0.06079392060793921,10000,estimable,0.581941805819418
confirmed-only,4057,28,4029,Top-1% lift,Submitted Full ModelRank,Temporal Vanilla PageRank,67.14547038327527,38.87369337979094,28.271777003484324,6.8242220353238,43.291158536585364,0.0103989601039896,10000,estimable,0.1975802419758024
confirmed-only,4057,28,4029,Top-5% lift,Submitted Full ModelRank,Temporal Vanilla PageRank,17.843947923997185,13.56140042223786,4.282547501759325,0.9980714872155756,8.14296847788226,0.0235976402359764,10000,estimable,0.42115788421157885
confirmed-only,4057,28,4029,Top-10% lift,Submitted Full ModelRank,Temporal Vanilla PageRank,9.992610837438423,8.565095003518648,1.4275158339197755,0.30280638901328594,2.8550316678395493,0.0413958604139586,10000,estimable,0.8693130686931306
confirmed-only,4057,28,4029,AUROC,Submitted Full ModelRank,Downloads,0.9896553558132114,0.9870581143849945,0.0025972414282169343,-0.0018608153580782325,0.007889580501148118,0.28777122287771223,10000,estimable,1.0
confirmed-only,4057,28,4029,AP,Submitted Full ModelRank,Downloads,0.47883237445478893,0.6864386335401751,-0.20760625908538616,-0.34408674970341535,-0.025390440647328635,0.0197980201979802,10000,estimable,0.23757624237576241
confirmed-only,4057,28,4029,Top-1% lift,Submitted Full ModelRank,Downloads,67.14547038327527,67.14547038327527,0.0,-13.6484440706476,9.583904405979437,0.9331066893310669,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-5% lift,Submitted Full ModelRank,Downloads,17.843947923997185,16.41643209007741,1.4275158339197738,0.0,3.526803824978268,0.3581641835816418,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-10% lift,Submitted Full ModelRank,Downloads,9.992610837438423,9.992610837438423,0.0,0.0,0.0,1.0,10000,estimable,1.0
confirmed-only,4057,28,4029,AUROC,Submitted Full ModelRank,Likes,0.9896553558132114,0.9503022728078573,0.03935308300535412,-0.00047482543710028154,0.09865992355144108,0.07179282071792821,10000,estimable,0.6461353864613539
confirmed-only,4057,28,4029,AP,Submitted Full ModelRank,Likes,0.47883237445478893,0.609370629380257,-0.13053825492546806,-0.27177755154289,0.04995484380702013,0.19538046195380462,10000,estimable,0.7815218478152185
confirmed-only,4057,28,4029,Top-1% lift,Submitted Full ModelRank,Likes,67.14547038327527,63.61149825783972,3.5339721254355467,-16.491869918699187,14.135888501742158,1.0,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-5% lift,Submitted Full ModelRank,Likes,17.843947923997185,17.130190007037296,0.7137579169598887,-1.4275158339197738,3.426038001407461,0.640935906409359,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-10% lift,Submitted Full ModelRank,Likes,9.992610837438423,8.921973961998592,1.0706368754398312,0.0,2.3791930565329578,0.10278972102789721,10000,estimable,1.0
confirmed-only,4057,28,4029,AUROC,AllTime DerivCount,Current DerivCount,0.9064106655320356,0.6746578378186717,0.23175282771336392,0.1414281033258574,0.3212063321876399,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AP,AllTime DerivCount,Current DerivCount,0.35988524432014435,0.12674403217864255,0.2331412121415018,0.11355655338340818,0.35295906295132984,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-1% lift,AllTime DerivCount,Current DerivCount,45.94163763066202,28.27177700348432,17.6698606271777,3.092225609756099,34.63292682926829,0.0395960403959604,10000,estimable,0.593940605939406
confirmed-only,4057,28,4029,Top-5% lift,AllTime DerivCount,Current DerivCount,13.56140042223786,7.137579169598874,6.4238212526389855,3.028063890132855,9.992610837438423,0.00039996000399960006,10000,estimable,0.009599040095990401
confirmed-only,4057,28,4029,Top-10% lift,AllTime DerivCount,Current DerivCount,8.565095003518648,3.925668543279381,4.639426460239267,2.797931034482759,6.533630162940508,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AUROC,AllTime DerivCount,Vanilla PageRank,0.9064106655320356,0.9046333723362763,0.0017772931957593663,0.0008855469477212358,0.002919680170982544,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AP,AllTime DerivCount,Vanilla PageRank,0.35988524432014435,0.35767204790248264,0.0022131964176617114,-0.040882982050520524,0.04618350963610167,0.6677332266773323,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-1% lift,AllTime DerivCount,Vanilla PageRank,45.94163763066202,38.87369337979094,7.067944250871079,0.0,15.22326454033771,0.6029397060293971,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-5% lift,AllTime DerivCount,Vanilla PageRank,13.56140042223786,13.56140042223786,0.0,0.0,0.0,1.0,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-10% lift,AllTime DerivCount,Vanilla PageRank,8.565095003518648,8.565095003518648,0.0,0.0,0.0,1.0,10000,estimable,1.0
confirmed-only,4057,28,4029,AUROC,AllTime DerivCount,Temporal Vanilla PageRank,0.9064106655320356,0.893216147218381,0.01319451831365459,-0.02645527889261939,0.05593883512939826,0.47795220477952205,10000,estimable,1.0
confirmed-only,4057,28,4029,AP,AllTime DerivCount,Temporal Vanilla PageRank,0.35988524432014435,0.36201880848056806,-0.0021335641604237066,-0.04558395859633378,0.04207306935985903,0.8049195080491951,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-1% lift,AllTime DerivCount,Temporal Vanilla PageRank,45.94163763066202,38.87369337979094,7.067944250871079,0.0,15.832195121951216,0.6167383261673832,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-5% lift,AllTime DerivCount,Temporal Vanilla PageRank,13.56140042223786,13.56140042223786,0.0,0.0,0.0,1.0,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-10% lift,AllTime DerivCount,Temporal Vanilla PageRank,8.565095003518648,8.565095003518648,0.0,0.0,0.0,1.0,10000,estimable,1.0
confirmed-only,4057,28,4029,AUROC,AllTime DerivCount,Downloads,0.9064106655320356,0.9870581143849945,-0.08064744885295883,-0.15274788399351186,-0.01927072010869567,0.0025997400259974,10000,estimable,0.0363963603639636
confirmed-only,4057,28,4029,AP,AllTime DerivCount,Downloads,0.35988524432014435,0.6864386335401751,-0.32655338922003074,-0.500614218619953,-0.13230505148706403,0.000999900009999,10000,estimable,0.015998400159984
confirmed-only,4057,28,4029,Top-1% lift,AllTime DerivCount,Downloads,45.94163763066202,67.14547038327527,-21.203832752613245,-40.313459801264685,0.0,0.051394860513948606,10000,estimable,0.6719328067193281
confirmed-only,4057,28,4029,Top-5% lift,AllTime DerivCount,Downloads,13.56140042223786,16.41643209007741,-2.855031667839551,-7.091530271730495,0.6446845701573185,0.137986201379862,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-10% lift,AllTime DerivCount,Downloads,8.565095003518648,9.992610837438423,-1.4275158339197755,-2.8550316678395493,-0.30280638901328594,0.0413958604139586,10000,estimable,0.8693130686931306
confirmed-only,4057,28,4029,AUROC,AllTime DerivCount,Likes,0.9064106655320356,0.9503022728078573,-0.04389160727582164,-0.11824099879752938,0.026897516571495354,0.20737926207379262,10000,estimable,1.0
confirmed-only,4057,28,4029,AP,AllTime DerivCount,Likes,0.35988524432014435,0.609370629380257,-0.24948538506011264,-0.4060847687627461,-0.08189999155976796,0.0027997200279972004,10000,estimable,0.036396360363963605
