domain,total,PR,PL,HR,LT,PR_pct,PL_pct,HR_pct,LT_pct
NLP,230385,22147,2895,5284,200059,9.613039043340494,1.2565922260563838,2.2935520975757973,86.83681663302733
CV,84593,4209,449,1538,78397,4.975588996725498,0.5307767782204201,1.8181173383140448,92.67551688674004
Multimodal,10194,2610,220,393,6971,25.603296056503826,2.158132234647832,3.8552089464390815,68.38336276240926
Audio,17613,1406,265,245,15697,7.982740021574973,1.504570487707943,1.3910179980696076,89.12167149264748
RL/Robotics,4750,272,58,43,4377,5.726315789473684,1.2210526315789474,0.9052631578947368,92.14736842105263
