method,mapping,domain,role,count,share,domain_n
Likes,crossmodal_reassigned,CV,Popular Root,1155,0.06293934935425863,18351
Likes,crossmodal_reassigned,CV,Popular Leaf,382,0.020816304288594628,18351
Likes,crossmodal_reassigned,CV,Hidden Root,1196,0.0651735600239769,18351
Likes,crossmodal_reassigned,CV,Long Tail,15618,0.8510707863331699,18351
Likes,crossmodal_reassigned,Multimodal,Popular Root,4316,0.056465539798000945,76436
Likes,crossmodal_reassigned,Multimodal,Popular Leaf,1635,0.021390444293264952,76436
Likes,crossmodal_reassigned,Multimodal,Hidden Root,10839,0.14180490868177298,76436
Likes,crossmodal_reassigned,Multimodal,Long Tail,59646,0.7803391072269611,76436
Likes,crossmodal_reassigned,NLP,Popular Root,16335,0.07090305358421772,230385
Likes,crossmodal_reassigned,NLP,Popular Leaf,8707,0.03779325910975107,230385
Likes,crossmodal_reassigned,NLP,Hidden Root,25943,0.1126071575840441,230385
Likes,crossmodal_reassigned,NLP,Long Tail,179400,0.7786965297219871,230385
Likes,crossmodal_reassigned,RL/Robotics,Popular Root,156,0.032842105263157895,4750
Likes,crossmodal_reassigned,RL/Robotics,Popular Leaf,174,0.03663157894736842,4750
Likes,crossmodal_reassigned,RL/Robotics,Hidden Root,176,0.03705263157894737,4750
Likes,crossmodal_reassigned,RL/Robotics,Long Tail,4244,0.8934736842105263,4750
