decile,n,dl_range,mr_hi_desc_count_mean,mr_lo_desc_count_mean,mr_hi_desc_depth_mean,mr_lo_desc_depth_mean,mr_hi_active_months_mean,mr_lo_active_months_mean,u_stat,p_value,effect_r
0,139404,1-2,2.191228372213136,0.6601675705144759,0.23144242632923015,0.13914952225187224,0.138977360764397,0.09856245157958164,2497403732.0,1.2043067730730813e-66,-0.02808322412404496
1,25956,3-3,2.0332100477731547,0.536754507628294,0.23324086916319925,0.20981661272923408,0.1762983510556326,0.16944059177068885,83101186.0,0.0025405734431464574,0.013216956818301595
2,20731,4-4,4.650588462280533,1.49831162566329,0.465367547752267,0.23135552339604437,0.28583831757669304,0.14915581283164495,58412135.5,8.19325164908164e-62,-0.08730796318328538
3,34848,5-7,5.355601469237833,1.0213498622589532,0.5136019283746557,0.17825987144168962,0.34871441689623506,0.11363636363636363,174458013.0,1.0985636127128853e-303,-0.1492782626857101
4,37108,8-16,8.77341813086127,0.8607847364449714,0.5238762530990622,0.11415328231109195,0.3906435270022637,0.07847364449714347,201856174.5,0.0,-0.17272701461744266
5,35643,17-43,5.309280664347436,0.08540485943549744,0.31444282347660196,0.032658099994388644,0.32269105599820447,0.033612030750238484,181997721.0,0.0,-0.14606021346041786
6,36689,44-140,4.984355410193513,1.1613606628870476,0.32390297083674024,0.07130396860008723,0.37029163259743797,0.05435019624945486,193318448.0,0.0,-0.14892462478086044
7,36677,141-199768964,53.26173728120399,0.3787763114843494,0.9493974589672283,0.09079507034573017,2.3041060035988874,0.11391645762896717,247944997.5,0.0,-0.47454396912105246
