layer,metric,method,n_months,mean_top_value,mean_base_value,mean_lift,mean_spearman,mean_auc
adoption_breadth,future_child_owner_breadth_3m,AllTimeDerivCount,17,0.061682284728158135,0.013368288114066814,4.435447752122026,0.11249227292480178,
adoption_breadth,future_child_owner_breadth_3m,CurrentDerivCount,17,0.05194248271689065,0.013368288114066814,3.223175769642328,0.11641182780809056,
adoption_breadth,future_child_owner_breadth_3m,Downloads,17,0.03703103524206433,0.013368288114066814,2.8317466049454403,0.066498395211484,
adoption_breadth,future_child_owner_breadth_3m,EventValue,17,0.05194248271689065,0.013368288114066814,3.223175769642328,0.11630215243577294,
adoption_breadth,future_child_owner_breadth_3m,ModelRank,17,0.0744688676030689,0.013368288114066814,4.751275913981337,0.08250583634307562,
adoption_breadth,future_child_owner_breadth_3m,Simplified-MR,17,0.07032584088207695,0.013368288114066814,4.500061592797281,0.08309648629134556,
adoption_breadth,future_cross_owner_reuse_share_3m,AllTimeDerivCount,17,0.025360359382296735,0.008475168542517217,3.583143867306318,0.10464271855935167,
adoption_breadth,future_cross_owner_reuse_share_3m,CurrentDerivCount,17,0.018871265169720496,0.008475168542517217,2.3955761814622303,0.10363512363562025,
adoption_breadth,future_cross_owner_reuse_share_3m,Downloads,17,0.027806064236572288,0.008475168542517217,3.18311201750968,0.0657628975827332,
adoption_breadth,future_cross_owner_reuse_share_3m,EventValue,17,0.018871265169720496,0.008475168542517217,2.3955761814622303,0.10353011706605798,
adoption_breadth,future_cross_owner_reuse_share_3m,ModelRank,17,0.037464909147537286,0.008475168542517217,4.35787025200636,0.08177769641195379,
adoption_breadth,future_cross_owner_reuse_share_3m,Simplified-MR,17,0.03444830719907611,0.008475168542517217,4.097675310986159,0.08199312823429017,
adoption_breadth,future_high_download_child_owner_breadth_3m,AllTimeDerivCount,17,0.012859660749014195,0.003430784823887952,3.8009069736537016,0.06222893597364131,
adoption_breadth,future_high_download_child_owner_breadth_3m,CurrentDerivCount,17,0.010728700467312766,0.003430784823887952,3.0504809656286187,0.074122266729604,
adoption_breadth,future_high_download_child_owner_breadth_3m,Downloads,17,0.00997919506611666,0.003430784823887952,2.665291772557333,0.03260806886369813,
adoption_breadth,future_high_download_child_owner_breadth_3m,EventValue,17,0.010728700467312766,0.003430784823887952,3.0504809656286187,0.07406129406998162,
adoption_breadth,future_high_download_child_owner_breadth_3m,ModelRank,17,0.017367463210289914,0.003430784823887952,4.268869284076962,0.04178359716328289,
adoption_breadth,future_high_download_child_owner_breadth_3m,Simplified-MR,17,0.01620385461190209,0.003430784823887952,3.9900815167396964,0.04256975390714555,
adoption_breadth,future_high_like_child_owner_breadth_3m,AllTimeDerivCount,17,0.01602348178025785,0.0028213054096366524,5.49838090159336,0.09089737591363545,
adoption_breadth,future_high_like_child_owner_breadth_3m,CurrentDerivCount,17,0.013421400925233667,0.0028213054096366524,3.9583341350359724,0.10981568380207685,
adoption_breadth,future_high_like_child_owner_breadth_3m,Downloads,17,0.008126765918379414,0.0028213054096366524,3.027810125742226,0.02707678934792485,
adoption_breadth,future_high_like_child_owner_breadth_3m,EventValue,17,0.013421400925233667,0.0028213054096366524,3.9583341350359724,0.10965015004748375,
adoption_breadth,future_high_like_child_owner_breadth_3m,ModelRank,17,0.017887342606038425,0.0028213054096366524,5.534117084566415,0.04067675380028399,
adoption_breadth,future_high_like_child_owner_breadth_3m,Simplified-MR,17,0.01695078759867865,0.0028213054096366524,5.2336851133588524,0.04101469419055417,
descendant_quality,future_child_download_quality_mean_3m,AllTimeDerivCount,17,0.10585469269418774,0.03641261163158066,3.569248616087313,0.10758274886512105,
descendant_quality,future_child_download_quality_mean_3m,CurrentDerivCount,17,0.07998211017075402,0.03641261163158066,2.4656711905505095,0.11478867716847652,
descendant_quality,future_child_download_quality_mean_3m,Downloads,17,0.12024817371755014,0.03641261163158066,3.2387800619087637,0.06610010625342684,
descendant_quality,future_child_download_quality_mean_3m,EventValue,17,0.07998211017075402,0.03641261163158066,2.4656711905505095,0.11467080303667962,
descendant_quality,future_child_download_quality_mean_3m,ModelRank,17,0.15975181287540624,0.03641261163158066,4.3466733248353115,0.07987467141587701,
descendant_quality,future_child_download_quality_mean_3m,Simplified-MR,17,0.14592196881271233,0.03641261163158066,4.059159034895423,0.0804221504047181,
descendant_quality,future_child_download_quality_median_3m,AllTimeDerivCount,17,0.10575612850344057,0.03641222718037534,3.567388271429097,0.10636574043036967,
descendant_quality,future_child_download_quality_median_3m,CurrentDerivCount,17,0.07988910619097399,0.03641222718037534,2.4635047994203196,0.11274908306548963,
descendant_quality,future_child_download_quality_median_3m,Downloads,17,0.12030342782678857,0.03641222718037534,3.241224724527254,0.06630021005277961,
descendant_quality,future_child_download_quality_median_3m,EventValue,17,0.07988910619097399,0.03641222718037534,2.4635047994203196,0.11263148493236287,
descendant_quality,future_child_download_quality_median_3m,ModelRank,17,0.1597395781260581,0.03641222718037534,4.345759094889882,0.07969691667330366,
descendant_quality,future_child_download_quality_median_3m,Simplified-MR,17,0.1459076738427267,0.03641222718037534,4.059505364035901,0.08024528435054366,
descendant_quality,future_child_download_quality_sum_3m,AllTimeDerivCount,17,0.36764806924096793,0.07750761353383812,4.643455503375093,0.1079104985360803,
descendant_quality,future_child_download_quality_sum_3m,CurrentDerivCount,17,0.3152008688068684,0.07750761353383812,3.5384548815649786,0.11521111915326343,
descendant_quality,future_child_download_quality_sum_3m,Downloads,17,0.21905253520190238,0.07750761353383812,2.91711806799243,0.06607696505794386,
descendant_quality,future_child_download_quality_sum_3m,EventValue,17,0.3152008688068684,0.07750761353383812,3.5384548815649786,0.11509257379396964,
descendant_quality,future_child_download_quality_sum_3m,ModelRank,17,0.4498145022996205,0.07750761353383812,5.024355350482334,0.07989701177054237,
descendant_quality,future_child_download_quality_sum_3m,Simplified-MR,17,0.42802777162505057,0.07750761353383812,4.782517826967993,0.0804470781650143,
descendant_quality,future_child_like_quality_mean_3m,AllTimeDerivCount,17,0.006088470993867577,0.0013252029621165736,5.304963858212983,0.08929138026978277,
descendant_quality,future_child_like_quality_mean_3m,CurrentDerivCount,17,0.0043829618906695966,0.0013252029621165736,3.480104927652813,0.10571950593035062,
descendant_quality,future_child_like_quality_mean_3m,Downloads,17,0.0045147362550301655,0.0013252029621165736,3.465653007025162,0.0259502437942721,
descendant_quality,future_child_like_quality_mean_3m,EventValue,17,0.0043829618906695966,0.0013252029621165736,3.480104927652813,0.10555201108085226,
descendant_quality,future_child_like_quality_mean_3m,ModelRank,17,0.007193623315688538,0.0013252029621165736,5.4869614330678065,0.03971324779556133,
descendant_quality,future_child_like_quality_mean_3m,Simplified-MR,17,0.00665497151958087,0.0013252029621165736,5.171516783785996,0.04000930087249969,
descendant_quality,future_child_like_quality_median_3m,AllTimeDerivCount,17,0.00577973768425591,0.0012797657329428323,5.272599115546427,0.07530515048742163,
descendant_quality,future_child_like_quality_median_3m,CurrentDerivCount,17,0.004111412447015359,0.0012797657329428323,3.399057760369908,0.0830887866095282,
descendant_quality,future_child_like_quality_median_3m,Downloads,17,0.004393308893267698,0.0012797657329428323,3.515973315623004,0.0272982331100809,
descendant_quality,future_child_like_quality_median_3m,EventValue,17,0.004111412447015359,0.0012797657329428323,3.399057760369908,0.082948780204695,
descendant_quality,future_child_like_quality_median_3m,ModelRank,17,0.0069122584374130625,0.0012797657329428323,5.483267823321159,0.03760544610202818,
descendant_quality,future_child_like_quality_median_3m,Simplified-MR,17,0.006399439117225202,0.0012797657329428323,5.170940966290176,0.03795477762661249,
descendant_quality,future_child_like_quality_sum_3m,AllTimeDerivCount,17,0.02524392623657828,0.003927946599289097,5.938099205358126,0.0893426972778924,
descendant_quality,future_child_like_quality_sum_3m,CurrentDerivCount,17,0.02170812934520641,0.003927946599289097,4.441414641126151,0.10579662098937884,
descendant_quality,future_child_like_quality_sum_3m,Downloads,17,0.01036198700958707,0.003927946599289097,3.006569577217443,0.025943389506036547,
descendant_quality,future_child_like_quality_sum_3m,EventValue,17,0.02170812934520641,0.003927946599289097,4.441414641126151,0.1056289709727306,
descendant_quality,future_child_like_quality_sum_3m,ModelRank,17,0.02681348189904631,0.003927946599289097,5.8358494202238,0.039714309696856874,
descendant_quality,future_child_like_quality_sum_3m,Simplified-MR,17,0.025710040034513555,0.003927946599289097,5.564511988910747,0.04001119381383337,
descendant_quality,future_high_download_child_count_3m,AllTimeDerivCount,17,0.019031078274133473,0.0046650627343201205,3.919975983476568,0.06223665915535793,
descendant_quality,future_high_download_child_count_3m,CurrentDerivCount,17,0.01621117351062839,0.0046650627343201205,3.1619441057243582,0.07412912311533282,
descendant_quality,future_high_download_child_count_3m,Downloads,17,0.012723280576976028,0.0046650627343201205,2.5623049833680023,0.03260616906981121,
descendant_quality,future_high_download_child_count_3m,EventValue,17,0.01621117351062839,0.0046650627343201205,3.1619441057243582,0.07406815597610976,
descendant_quality,future_high_download_child_count_3m,ModelRank,17,0.024881203261361347,0.0046650627343201205,4.382006984554401,0.04178421304224868,
descendant_quality,future_high_download_child_count_3m,Simplified-MR,17,0.023406944225545644,0.0046650627343201205,4.118479003279898,0.04257112620817973,
descendant_quality,future_high_like_child_count_3m,AllTimeDerivCount,17,0.025454943118767552,0.004196309346854173,5.681525184167071,0.09089427855308962,
descendant_quality,future_high_like_child_count_3m,CurrentDerivCount,17,0.02171683888154139,0.004196309346854173,4.194071610573854,0.10981450278928181,
descendant_quality,future_high_like_child_count_3m,Downloads,17,0.01184587770809696,0.004196309346854173,3.0397545400805632,0.027077770162938414,
