method,n_months,mean_spearman_future_child_download_quality,mean_spearman_future_child_like_quality,mean_spearman_future_nonzero_liked_children,mean_spearman_future_owner_breadth,mean_top_future_child_download_quality,mean_base_future_child_download_quality,mean_download_quality_lift,mean_top_future_child_like_quality,mean_base_future_child_like_quality,mean_like_quality_lift,mean_top_future_owner_breadth,mean_base_future_owner_breadth,mean_owner_breadth_lift
Downloads,17,0.06607696505794386,0.025943389506036547,0.025945757940057806,0.06649839521148401,0.21905253520190238,0.07750761353383812,2.91711806799243,0.010361987009587072,0.003927946599289097,3.006569577217443,0.037031035242064324,0.013368288114066812,2.8317466049454403
CurrentDerivCount,17,0.11521111915326344,0.10579662098937884,0.1057786755705219,0.11641182780809055,0.3152008688068684,0.07750761353383812,3.5384548815649786,0.02170812934520641,0.003927946599289097,4.441414641126151,0.05194248271689065,0.013368288114066812,3.2231757696423284
AllTimeDerivCount,17,0.1079104985360803,0.0893426972778924,0.08932782501078614,0.11249227292480178,0.36764806924096793,0.07750761353383812,4.643455503375093,0.02524392623657828,0.003927946599289097,5.938099205358127,0.061682284728158135,0.013368288114066812,4.435447752122026
EventValue,17,0.11509257379396964,0.1056289709727306,0.1056110730196231,0.11630215243577294,0.3152008688068684,0.07750761353383812,3.5384548815649786,0.02170812934520641,0.003927946599289097,4.441414641126151,0.05194248271689065,0.013368288114066812,3.2231757696423284
Simplified-MR,17,0.08044707816501429,0.04001119381383336,0.04001080562267852,0.08309648629134556,0.4280277716250506,0.07750761353383812,4.782517826967993,0.02571004003451355,0.003927946599289097,5.564511988910746,0.07032584088207695,0.013368288114066812,4.500061592797281
ModelRank,17,0.07989701177054236,0.03971430969685688,0.03971403930570441,0.08250583634307562,0.4498145022996205,0.07750761353383812,5.024355350482335,0.02681348189904631,0.003927946599289097,5.8358494202238,0.0744688676030689,0.013368288114066812,4.7512759139813365
