candidate,baseline,family,metric,statistic,material_threshold,n_months,mean_difference,sd_difference,ci_low,ci_high,p_raw,bootstrap_ci_low,bootstrap_ci_high,bootstrap_direction,holm_p,holm_family_size,decision,robust_material_win,material_loss
MTPR_time_safe_typed,No child quality,quantity,future_direct_children_3m,lift,0.1,6,-0.050769609900526,0.032214649041145446,-0.08457681073104503,-0.016962409070006977,0.01187585054218625,-0.07494072302199954,-0.028526975428083245,negative,0.11875850542186249,21,tie,False,False
MTPR_time_safe_typed,No child quality,quantity,future_active_parent_months_3m,lift,0.1,6,-0.057575501232971726,0.026848202598295443,-0.08575096190677094,-0.02940004055917252,0.0033182974141748034,-0.07820343438119548,-0.038725183823400545,negative,0.05972935345514646,21,tie,False,False
MTPR_time_safe_typed,No child quality,quantity,future_active_parent_binary_3m,auc,0.01,6,-0.002123422073412854,0.001495414157526973,-0.0036927629867266874,-0.000554081160099021,0.01769350766821094,-0.0031689373797372986,-0.0011301137080802122,negative,0.12435430249030571,21,tie,False,False
MTPR_time_safe_typed,No child quality,descendant_quality,future_child_download_quality_sum_3m,lift,0.1,6,-0.037104570236412705,0.025166454593092732,-0.0635151446162282,-0.0106939958565972,0.01535705552625784,-0.05529045751950612,-0.01920522101751021,negative,0.12435430249030571,21,tie,False,False
MTPR_time_safe_typed,No child quality,descendant_quality,future_child_like_quality_sum_3m,lift,0.1,6,-0.021532241951160325,0.012310962962515637,-0.034451805245463686,-0.008612678656856965,0.007831916824409627,-0.029621496040886264,-0.011835725853727238,negative,0.10866391239880893,21,tie,False,False
MTPR_time_safe_typed,No child quality,descendant_quality,future_high_download_child_count_3m,lift,0.1,6,-0.02586164031241452,0.022391741651513804,-0.04936033204085648,-0.002362948583972565,0.036714805065697714,-0.04143499431798433,-0.008764123168585694,negative,0.2117626027281474,21,tie,False,False
MTPR_time_safe_typed,No child quality,descendant_quality,future_high_like_child_count_3m,lift,0.1,6,-0.028213164460240803,0.018614244568334125,-0.04774761611999087,-0.008678712800490731,0.01381714472114508,-0.04204271895971375,-0.014873458953428509,negative,0.12435430249030571,21,tie,False,False
MTPR_time_safe_typed,No child quality,descendant_quality,future_nonzero_like_child_share_3m,lift,0.1,6,-0.03778874564052185,0.02154349603196662,-0.06039725818442533,-0.015180233096618364,0.007740608575168503,-0.05202074392979705,-0.021683275428303478,negative,0.10866391239880893,21,tie,False,False
MTPR_time_safe_typed,No child quality,descendant_quality,future_nonzero_download_child_share_3m,lift,0.1,6,-0.0453306009891532,0.016814624188248768,-0.06297646688375855,-0.027684735094547865,0.001197318948938641,-0.05723137424696804,-0.03342982773133837,negative,0.023946378978772817,21,loss,False,False
MTPR_time_safe_typed,No child quality,descendant_quality,future_child_download_quality_mean_3m,lift,0.1,6,-0.03852672714719022,0.019353530739034244,-0.058837012062555226,-0.018216442231825218,0.004568281060759366,-0.05199285969756451,-0.02406269076829215,negative,0.07766077803290922,21,tie,False,False
MTPR_time_safe_typed,No child quality,descendant_quality,future_child_download_quality_median_3m,lift,0.1,6,-0.039166745934256765,0.019886092101603886,-0.06003591972393392,-0.01829757214457961,0.00477990562746561,-0.052862973121864686,-0.024015007907887808,negative,0.07766077803290922,21,tie,False,False
