download_band,deriv_band,n,n_hi,n_lo,median_score,mr_hi_desc_count_mean,mr_lo_desc_count_mean,mr_hi_desc_count_median,mr_lo_desc_count_median,desc_count_u_stat,desc_count_p_value,desc_count_effect_r,mr_hi_desc_depth_mean,mr_lo_desc_depth_mean,mr_hi_desc_depth_median,mr_lo_desc_depth_median,desc_depth_u_stat,desc_depth_p_value,desc_depth_effect_r,mr_hi_active_months_mean,mr_lo_active_months_mean,mr_hi_active_months_median,mr_lo_active_months_median,active_months_u_stat,active_months_p_value,active_months_effect_r,mr_hi_type_diversity_mean,mr_lo_type_diversity_mean,mr_hi_type_diversity_median,mr_lo_type_diversity_median,type_diversity_u_stat,type_diversity_p_value,type_diversity_effect_r,favorable_metrics
4,9+,105,53,52,1.7515376550881805,110.49056603773585,73.03846153846153,31.0,21.5,1618.0,0.062275229926047476,0.1741654571843252,4.735849056603773,3.1538461538461537,3.0,2.0,1746.0,0.007856875879806564,0.26705370101596526,3.4716981132075473,2.576923076923077,3.0,2.0,1836.5,0.0013792490781966292,0.33272859216255446,2.056603773584906,1.5961538461538463,2.0,2.0,1826.0,0.0008694249847416486,0.32510885341074025,4
5-7,1,2644,1322,1322,1.244229173942679,2.5688350983358545,5.1006051437216335,1.0,1.0,835868.5,0.9998729550082481,0.04345579635677843,1.275340393343419,1.7677760968229954,1.0,1.0,834828.5,0.9999145927249167,0.0446459428592354,1.0,1.0,1.0,1.0,873842.0,1.0,0.0,1.0,1.0,1.0,1.0,873842.0,1.0,0.0,0
5-7,2,1471,736,735,1.6152852961064936,4.991847826086956,20.35918367346939,2.0,2.0,234222.0,0.9999999999998741,0.13405057675244014,1.2173913043478262,2.293877551020408,1.0,1.0,233998.5,0.9999999999999115,0.13487688553682342,1.2065217391304348,1.2748299319727892,1.0,1.0,252004.0,0.9989056551388629,0.06830819284235434,1.0896739130434783,1.2054421768707484,1.0,1.0,239167.0,0.99999999980545,0.11576826382727001,0
5-7,3-4,1038,519,519,1.7333287955430325,17.4990366088632,23.0616570327553,4.0,4.0,126602.5,0.9610850564410143,0.05997898730699691,2.159922928709056,2.8073217726396917,1.0,1.0,122369.0,0.9983148349110395,0.09141263954321521,1.7283236994219653,1.581888246628131,2.0,1.0,149859.0,0.00025974762405752067,0.11270005680109585,1.393063583815029,1.4527938342967244,1.0,1.0,127878.0,0.9503885521676089,0.05050842549589585,1
5-7,5-8,452,226,226,2.019464772896314,66.81858407079646,58.402654867256636,9.0,9.0,23490.0,0.9308137784557804,0.0801942203774767,3.5707964601769913,3.9690265486725664,2.0,2.0,23554.0,0.930261790765119,0.0776881509906806,2.438053097345133,1.9955752212389382,2.0,2.0,32083.5,3.857945478459521e-07,0.256304330801159,1.8495575221238938,1.7345132743362832,2.0,2.0,27817.0,0.030135511028792774,0.08923956457044402,3
5-7,9+,274,137,137,2.1137653999820682,166.007299270073,75.72262773722628,46.0,24.0,10906.0,0.010152323732347422,0.16212904257019556,5.591240875912408,3.605839416058394,3.0,2.0,11512.5,0.00047207849691915655,0.22675688635516011,3.7226277372262775,2.605839416058394,3.0,2.0,13262.0,9.089783446285425e-10,0.41318130960626576,2.0437956204379564,1.7226277372262773,2.0,2.0,11821.0,1.4309692207259368e-05,0.25963024135542656,4
8-16,1,2104,1052,1052,1.8381703496039972,3.849809885931559,3.3802281368821294,1.0,1.0,539299.0,0.9885588933542364,0.025396131214850626,1.1226235741444868,1.320342205323194,1.0,1.0,539044.0,0.9897473738576468,0.02585695904234553,1.0,1.0,1.0,1.0,553352.0,1.0,0.0,1.0,1.0,1.0,1.0,553352.0,1.0,0.0,1
8-16,2,1371,686,685,2.1350861939280152,3.629737609329446,10.037956204379562,2.0,2.0,219249.0,0.9999702458788372,0.06684684301249177,1.161807580174927,1.6496350364963503,1.0,1.0,218974.0,0.9999780925734827,0.06801727990466255,1.2099125364431487,1.2277372262773723,1.0,1.0,230767.0,0.7875557987977104,0.017824689834223584,1.1049562682215743,1.14014598540146,1.0,1.0,226687.0,0.9764942452228897,0.035189717179885505,0
8-16,3-4,1065,533,532,2.316919434524487,17.037523452157597,33.37593984962406,4.0,4.0,125224.0,0.9997753629813269,0.11676000507836193,1.8105065666041276,2.8176691729323307,1.0,1.0,122693.0,0.9999978489140612,0.1346118579751442,1.823639774859287,1.7330827067669172,2.0,2.0,152132.0,0.01214236185736219,0.07302966609770212,1.3489681050656661,1.4360902255639099,1.0,1.0,129534.5,0.998125525103858,0.0863568395660822,1
8-16,5-8,529,265,264,2.668753936130622,42.13962264150943,111.02651515151516,8.0,12.5,24502.5,0.9999999989685042,0.29952830188679247,2.920754716981132,5.136363636363637,2.0,2.0,25572.5,0.9999999865845453,0.2689393939393939,2.732075471698113,2.393939393939394,3.0,2.0,40366.0,0.0007570803344885725,0.15397369925671822,1.8226415094339623,1.8522727272727273,2.0,2.0,34037.5,0.7287615248326093,0.026943967981703842,1
