metric_left,metric_right,spearman_corr_lift_profiles,abs_corr
future_direct_children_3m,future_high_download_child_count_3m,0.7877374095563653,0.7877374095563653
future_high_download_child_count_3m,future_high_like_child_owner_breadth_3m,0.7812814567663858,0.7812814567663858
future_child_future_child_count_median_3m,future_child_like_quality_mean_3m,0.7743601432675498,0.7743601432675498
future_child_future_child_count_median_3m,future_child_like_quality_median_3m,0.7714336350760457,0.7714336350760457
future_child_becomes_parent_share_3m,future_nonzero_like_child_share_3m,0.7689028403625133,0.7689028403625133
future_child_owner_breadth_3m,future_high_download_child_count_3m,0.7602534630651241,0.7602534630651241
future_direct_children_3m,future_high_download_child_owner_breadth_3m,0.7594576636909208,0.7594576636909208
future_active_parent_months_3m,future_direct_children_3m,0.7594426316652623,0.7594426316652623
future_high_download_child_count_3m,future_high_like_child_count_3m,0.7559329414356368,0.7559329414356368
future_child_owner_breadth_3m,future_high_download_child_owner_breadth_3m,0.7555668661614937,0.7555668661614937
future_active_parent_months_3m,future_child_download_quality_sum_3m,0.755292407905445,0.755292407905445
future_high_download_child_owner_breadth_3m,future_high_like_child_count_3m,0.7523037990474247,0.7523037990474247
future_child_second_order_diffusion_share_3m,future_nonzero_like_child_share_3m,0.7479254110035158,0.7479254110035158
future_high_like_child_owner_breadth_3m,future_nonzero_like_child_share_3m,0.7475195313321196,0.7475195313321196
future_child_like_quality_mean_3m,future_high_like_child_owner_breadth_3m,0.746052750681087,0.746052750681087
future_child_like_quality_sum_3m,future_high_download_child_count_3m,0.7407497470429751,0.7407497470429751
future_child_owner_breadth_3m,future_cross_owner_reuse_share_3m,0.7307197489412229,0.7307197489412229
future_child_like_quality_sum_3m,future_high_download_child_owner_breadth_3m,0.7298478769116845,0.7298478769116845
future_active_parent_binary_3m,future_child_owner_breadth_3m,0.7262018537473633,0.7262018537473633
future_child_download_quality_sum_3m,future_cross_owner_reuse_share_3m,0.7255011734218415,0.7255011734218415
future_child_like_quality_median_3m,future_high_like_child_owner_breadth_3m,0.7238375299381715,0.7238375299381715
future_child_download_quality_sum_3m,future_child_like_quality_mean_3m,0.7228037436143508,0.7228037436143508
future_child_future_child_count_median_3m,future_nonzero_like_child_share_3m,0.7157930981916089,0.7157930981916089
future_child_download_quality_sum_3m,future_nonzero_like_child_share_3m,0.7150358103455433,0.7150358103455433
future_child_download_quality_mean_3m,future_child_download_quality_sum_3m,0.714398409824413,0.714398409824413
future_child_download_quality_median_3m,future_child_download_quality_sum_3m,0.7139177371088082,0.7139177371088082
future_child_download_quality_sum_3m,future_nonzero_download_child_share_3m,0.709429331617067,0.709429331617067
future_child_download_quality_sum_3m,future_child_like_quality_median_3m,0.7077368514834425,0.7077368514834425
future_cross_owner_reuse_share_3m,future_direct_children_3m,0.705871375479568,0.705871375479568
future_child_future_child_count_mean_3m,future_child_like_quality_mean_3m,0.7051991514572975,0.7051991514572975
future_active_parent_binary_3m,future_child_download_quality_sum_3m,0.7040012215583649,0.7040012215583649
future_child_future_child_count_mean_3m,future_child_like_quality_median_3m,0.6992349870731046,0.6992349870731046
future_active_parent_binary_3m,future_direct_children_3m,0.6954832580260248,0.6954832580260248
future_active_parent_months_3m,future_high_like_child_owner_breadth_3m,0.6954173629577002,0.6954173629577002
future_child_like_quality_mean_3m,future_direct_children_3m,0.689584776578893,0.689584776578893
future_high_like_child_count_3m,future_nonzero_like_child_share_3m,0.6882408161528798,0.6882408161528798
future_child_like_quality_mean_3m,future_high_like_child_count_3m,0.6861917351412524,0.6861917351412524
future_direct_children_3m,future_nonzero_like_child_share_3m,0.6814207835794809,0.6814207835794809
future_child_owner_breadth_3m,future_nonzero_download_child_share_3m,0.6739371388825117,0.6739371388825117
future_child_like_quality_mean_3m,future_child_owner_breadth_3m,0.6727326707719445,0.6727326707719445
future_child_like_quality_median_3m,future_direct_children_3m,0.6709437718502115,0.6709437718502115
future_child_like_quality_mean_3m,future_child_like_quality_sum_3m,0.6639353069351501,0.6639353069351501
future_child_download_quality_mean_3m,future_child_owner_breadth_3m,0.6632528996708842,0.6632528996708842
future_child_owner_breadth_3m,future_nonzero_like_child_share_3m,0.6632000995401015,0.6632000995401015
future_child_like_quality_median_3m,future_high_like_child_count_3m,0.6629927672295245,0.6629927672295245
future_child_download_quality_median_3m,future_child_owner_breadth_3m,0.6616807949165805,0.6616807949165805
future_direct_children_3m,future_nonzero_download_child_share_3m,0.6567232546722465,0.6567232546722465
future_active_parent_months_3m,future_high_like_child_count_3m,0.655897438797496,0.655897438797496
future_child_like_quality_sum_3m,future_nonzero_like_child_share_3m,0.6542727805047228,0.6542727805047228
future_child_like_quality_median_3m,future_child_owner_breadth_3m,0.6523612674522191,0.6523612674522191
future_active_parent_months_3m,future_child_becomes_parent_share_3m,0.652338133172356,0.652338133172356
