deriv_band,n,n_hi,n_lo,median_score,mr_hi_desc_count_mean,mr_lo_desc_count_mean,mr_hi_desc_count_median,mr_lo_desc_count_median,desc_count_u_stat,desc_count_p_value,desc_count_effect_r,mr_hi_desc_depth_mean,mr_lo_desc_depth_mean,mr_hi_desc_depth_median,mr_lo_desc_depth_median,desc_depth_u_stat,desc_depth_p_value,desc_depth_effect_r,mr_hi_active_months_mean,mr_lo_active_months_mean,mr_hi_active_months_median,mr_lo_active_months_median,active_months_u_stat,active_months_p_value,active_months_effect_r,mr_hi_type_diversity_mean,mr_lo_type_diversity_mean,mr_hi_type_diversity_median,mr_lo_type_diversity_median,type_diversity_u_stat,type_diversity_p_value,type_diversity_effect_r,favorable_metrics
1,32510,16255,16255,0.8359299170964426,2.7405721316517995,3.93029836973239,1.0,1.0,130194772.0,0.9999993325408801,0.014515964186208374,1.2487234697016303,1.3500461396493386,1.0,1.0,130190818.0,0.9999993667321704,0.014545893221128425,1.0,1.0,1.0,1.0,132112512.5,1.0,0.0,1.0,1.0,1.0,1.0,132112512.5,1.0,0.0,0
2,13818,6909,6909,1.4000348621170797,7.153567810102764,20.765812708061947,2.0,2.0,22226111.0,1.0,0.06875685421971689,1.354899406571139,2.0118685772181215,1.0,1.0,22212919.0,1.0,0.06930958067641158,1.2852800694745983,1.1752786220871327,1.0,1.0,26492560.5,1.6117921374230574e-53,0.11000144738746553,1.1333043855840208,1.1405413229121435,1.0,1.0,23694415.5,0.8920095767844981,0.0072369373281226945,1
3-4,8755,4378,4377,2.129744620853669,11.123115577889447,16.71875713959333,4.0,4.0,8659641.5,1.0,0.0961890370706211,1.5461397898583829,2.192369202650217,1.0,1.0,8182899.5,1.0,0.1459468297100598,1.9529465509365007,1.5065113091158329,2.0,1.0,12591696.5,1.6177129038961878e-169,0.31420144108500203,1.3926450433988122,1.3957048206534155,1.0,1.0,9518044.0,0.7370432948441389,0.006597153837812231,1
5-8,4433,2217,2216,3.564120782399496,14.946774921064502,57.67238267148014,7.0,9.0,1714268.5,1.0,0.3021318283887714,1.6698240866035183,3.4386281588447654,1.0,2.0,1647984.0,1.0,0.32911584099891067,3.1281010374379794,2.154332129963899,3.0,2.0,3485095.0,2.4192866710706314e-136,0.41876075745510977,1.780784844384303,1.7197653429602888,2.0,2.0,2547228.0,0.009003061349829748,0.03696086525356246,2
9+,5439,2720,2719,6.535894495842953,330.9753676470588,136.4163295329165,40.0,26.0,4300063.0,1.1922331444977228e-25,0.16285804685978844,3.0139705882352943,4.139389481426996,2.0,2.0,3434526.5,0.9999986414281861,0.07120738052484699,10.110294117647058,3.9996322177271058,8.0,3.0,5940013.0,0.0,0.6063466780607056,2.68125,2.0426627436557556,3.0,2.0,5105337.0,1.3050822970626923e-144,0.3806267983471432,3
