model_id,month,S_C3_Q10,Vanilla PageRank,Downloads,Likes,AllTime DerivCount,Current DerivCount,desc_count,desc_depth
lerobot/smolvla_base,2026-02,7782.857902957137,1644.7834819461498,55094.0,346.0,4064,481,4064,1
distilbert/distilbert-base-uncased-finetuned-sst-2-english,2026-02,69.60780718908907,57.23172019864983,3535584.0,883.0,140,4,142,2
