month,total,finetune,finetune_pct,adapter,adapter_pct,quantized,quantized_pct,merge,merge_pct,unknown,unknown_pct
2024-07,19811,6113,30.85659482105901,10053,50.74453586391399,2953,14.90586038059664,692,3.4930089344303665,0,0.0
2024-08,37582,5618,14.948645628226279,27798,73.96626044382948,3329,8.857963918897346,837,2.227130009046884,0,0.0
2024-09,79698,6735,8.450651208311376,67333,84.48518156039047,4279,5.36901804311275,1351,1.6951491881854,0,0.0
2024-10,24595,6824,27.74547672291116,11614,47.22097987395812,4455,18.113437690587517,1702,6.920105712543199,0,0.0
2024-11,28120,9558,33.9900426742532,6724,23.91180654338549,10239,36.41180654338549,1599,5.686344238975818,0,0.0
2024-12,38552,13844,35.90993982153974,11544,29.943971778377254,10098,26.193193608632498,3066,7.952894791450508,0,0.0
2025-01,57005,11216,19.675467064292608,33815,59.31935795105693,9105,15.972283133058504,2869,5.032891851591965,0,0.0
2025-02,35842,9982,27.850008370068636,13930,38.86501869315329,8334,23.252050666815467,3596,10.032922269962613,0,0.0
2025-03,35826,13884,38.75397755819795,8411,23.47736280913303,8885,24.800424272874448,4646,12.968235359794564,0,0.0
2025-04,33076,15578,47.097593421211755,7083,21.41431853912202,7169,21.67432579513847,3246,9.813762244527755,0,0.0
2025-05,29673,12896,43.460384861658746,7870,26.522427796313146,7256,24.453206618811716,1651,5.563980723216392,0,0.0
2025-06,23164,10229,44.15903988948368,6263,27.03764462096356,5501,23.748057330340185,985,4.252288033154896,186,0.8029701260576757
2025-07,22215,10711,48.215169930227326,5094,22.930452397029036,4690,21.111861354940356,1719,7.73801485482782,1,0.004501462975467027
2025-08,21312,10711,50.25807057057057,4409,20.687875375375377,5084,23.855105105105103,1108,5.198948948948949,0,0.0
2025-09,18756,8777,46.7956920452122,4195,22.366176156963107,4653,24.80806142034549,1129,6.0194071230539565,2,0.010663254425250585
2025-10,19100,9746,51.0261780104712,4733,24.780104712041883,4126,21.602094240837697,495,2.5916230366492146,0,0.0
2025-11,17993,10493,58.31712332573778,2905,16.145167565164233,4040,22.45317623520258,555,3.084532873895404,0,0.0
2025-12,20653,10081,48.81131070546652,4268,20.665278652011814,5339,25.850965961361545,965,4.672444681160122,0,0.0
2026-01,20922,9878,47.213459516298634,4849,23.17656055826403,4919,23.511136602619253,1242,5.936334958416977,34,0.16250836440110888
2026-02,27404,11127,40.603561523865125,10412,37.99445336447234,5163,18.84031528244052,702,2.5616698292220113,0,0.0
