percentile,dl_threshold,mr_threshold,PR_pct,PL_pct,HR_pct,LT_pct,n_HR,n_PL,hr_pl_breadth_r,hr_pl_active_m_r
50,1.0,0.39422984880986367,48.259131312347165,2.6244725270459854,1.7408686876528352,47.37552747295402,12558,18932,-0.218,-0.216
70,3.0,0.9642681177372376,28.433911312458065,3.1246361060435506,1.5660609622881096,66.87539161921028,11297,22540,-0.225,-0.213
80,8.0,1.5013040910531414,18.17348800328267,2.0821665622348773,1.8265397219711548,77.9178057125113,13176,15020,-0.398,-0.393
85,17.0,2.0058680908019624,13.352343615705802,1.7591673551771367,1.6477118348018478,83.24077719431521,11886,12690,-0.488,-0.486
90,45.0,2.649283964366947,8.467708396870373,1.5893501755008568,1.5323747788911009,88.41056664873767,11054,11465,-0.478,-0.478
95,144.0,3.6586541780690447,3.883476303225556,1.135487770390538,1.1166345977897427,93.86440132859416,8055,8191,-0.567,-0.564
