month,Popular_Roots,Popular_Leaves,Hidden_Roots,Long_Tail,PR_pct,PL_pct,HR_pct,LT_pct
2024-07,11113,2580,2561,120451,8.129183277861088,1.8872755202808968,1.8733769796276654,88.11016422223035
2024-08,13589,3878,3860,153157,7.78810664588157,2.2225533573278926,2.212237225189702,87.77710277160084
2024-09,20152,5311,5256,223297,7.9333585285966235,2.0908131771227008,2.069160997732426,87.90666729654825
2024-10,23865,3990,3962,246448,8.576357069699746,1.4338849657700392,1.4238226151330566,88.56593534939717
2024-11,24399,6319,6215,269207,7.969883060037891,2.064088325602665,2.0301169399621086,87.93591167439733
2024-12,27267,7364,7069,301640,7.941690452612571,2.144812722083066,2.0588920603483425,87.85460476495602
2025-01,27557,12488,12375,346896,6.901050796862634,3.127347764677599,3.099049374430276,86.87255206402949
2025-02,33612,9951,9789,380651,7.744646926403735,2.292841293723776,2.2555143628039436,87.70699741706855
2025-03,37975,9005,8788,411859,8.120788577220733,1.9256800826299592,1.8792755764744125,88.0742557636749
2025-04,40886,9073,9068,440505,8.18486102992401,1.8163000568532146,1.8152991199762978,88.18353979324648
2025-05,43787,9562,9132,466701,8.274468897279197,1.8069397674146135,1.7256822794426112,88.19290905586358
2025-06,46925,8784,8328,488487,8.492843749773765,1.5897951944168942,1.507264842794159,88.41009621301518
2025-07,48098,9606,9346,507387,8.373067890821796,1.6722460426469743,1.6269843342263817,88.32770173230486
2025-08,51030,9162,8557,527114,8.564049118673251,1.5376017641639101,1.4360683579950426,88.4622807591678
2025-09,52882,8646,8581,544516,8.603945495220664,1.4067114093959732,1.3961358551962577,88.59320724018711
2025-10,54956,8784,8454,561899,8.66686747842982,1.3852857546132822,1.3332429154713898,88.61460385148551
2025-11,54128,11443,11109,575688,8.29715743261472,1.754071321707993,1.7028732249282612,88.24589802074902
2025-12,55999,12009,11311,593777,8.319615626894231,1.7841437179837647,1.6804437999928687,88.21579685512914
2026-01,59182,10961,10191,613391,8.531046163825723,1.5800209016541136,1.469025910843634,88.41990702367653
2026-02,61083,11465,11054,637762,8.467708396870373,1.5893501755008568,1.5323747788911009,88.41056664873767
