model_id,Downloads,Likes,S_C3_Q10,role,month,download_p90,modelrank_p90
nvidia/Minitron-4B-Base,123.0,41.0,2.8289720704410457,Hidden Root,2024-07,219.0,1.8558965922405413
nvidia/Minitron-4B-Base,545.0,117.0,25.317309861537716,Popular Root,2024-08,116.0,0.2308944160471986
nvidia/Minitron-4B-Base,236.0,127.0,46.525151908697474,Popular Root,2024-09,100.0,0.2475988486003169
nvidia/Minitron-4B-Base,25.0,126.0,38.90260215650185,Hidden Root,2024-10,75.0,0.238593793034825
nvidia/Minitron-4B-Base,49.0,127.0,51.63187098020187,Hidden Root,2024-11,82.0,0.2028459520811253
nvidia/Minitron-4B-Base,32.0,128.0,3.3644102574980423,Hidden Root,2024-12,51.0,0.1918775380863641
nvidia/Minitron-4B-Base,409.0,129.0,8.164771241523232,Popular Root,2025-01,119.0,0.1811518922358358
nvidia/Minitron-4B-Base,556.0,133.0,28.02598512267829,Popular Root,2025-02,111.0,0.1825346650438559
nvidia/Minitron-4B-Base,558.0,134.0,4.244721009228449,Popular Root,2025-03,61.0,0.1913654759481211
nvidia/Minitron-4B-Base,556.0,134.0,61.96532965368857,Popular Root,2025-04,48.0,0.2265555325290591
nvidia/Minitron-4B-Base,1254.0,134.0,4.930338960842855,Popular Root,2025-05,29.0,0.1877114771442029
nvidia/Minitron-4B-Base,1808.0,134.0,88.98078526242799,Popular Root,2025-06,73.0,0.1671328586157394
nvidia/Minitron-4B-Base,1774.0,134.0,47.863731896095665,Popular Root,2025-07,46.0,0.1616196593713486
nvidia/Minitron-4B-Base,1540.0,134.0,19.724075753752672,Popular Root,2025-08,37.0,0.1789208319783163
nvidia/Minitron-4B-Base,1000.0,134.0,5.048053532434338,Popular Root,2025-09,56.0,0.1745556870024762
nvidia/Minitron-4B-Base,513.0,134.0,7.353796648617916,Popular Root,2025-10,56.0,0.2497182525588382
nvidia/Minitron-4B-Base,967.0,134.0,5.239481111643102,Popular Root,2025-11,89.0,0.1764457011105828
nvidia/Minitron-4B-Base,298.0,135.0,5.248567700613269,Popular Root,2025-12,55.0,0.1615341957713476
nvidia/Minitron-4B-Base,831.0,136.0,22.2416580009726,Popular Root,2026-01,30.0,0.1954875292731835
nvidia/Minitron-4B-Base,3009.0,136.0,34.84665427085989,Popular Root,2026-02,45.0,0.2434687593373653
nvidia/Minitron-8B-Base,167.0,30.0,2.939492263843644,Hidden Root,2024-07,219.0,1.8558965922405413
nvidia/Minitron-8B-Base,592.0,60.0,4.670276539310648,Popular Root,2024-08,116.0,0.2308944160471986
nvidia/Minitron-8B-Base,25.0,64.0,0.8269235679526762,Hidden Root,2024-09,100.0,0.2475988486003169
nvidia/Minitron-8B-Base,99.0,63.0,0.9503440595291125,Popular Root,2024-10,75.0,0.238593793034825
nvidia/Minitron-8B-Base,41.0,63.0,0.6948429863392793,Hidden Root,2024-11,82.0,0.2028459520811253
nvidia/Minitron-8B-Base,18.0,63.0,0.5760703342737744,Hidden Root,2024-12,51.0,0.1918775380863641
nvidia/Minitron-8B-Base,402.0,63.0,0.635804777473886,Popular Root,2025-01,119.0,0.1811518922358358
nvidia/Minitron-8B-Base,7739.0,64.0,13.759659541339776,Popular Root,2025-02,111.0,0.1825346650438559
nvidia/Minitron-8B-Base,6483.0,66.0,0.8763756013543229,Popular Root,2025-03,61.0,0.1913654759481211
nvidia/Minitron-8B-Base,5646.0,66.0,14.50109063913008,Popular Root,2025-04,48.0,0.2265555325290591
nvidia/Minitron-8B-Base,7522.0,67.0,12.831728915028863,Popular Root,2025-05,29.0,0.1877114771442029
nvidia/Minitron-8B-Base,8704.0,68.0,0.9609524978429134,Popular Root,2025-06,73.0,0.1671328586157394
nvidia/Minitron-8B-Base,9990.0,68.0,0.9569416293641821,Popular Root,2025-07,46.0,0.1616196593713486
nvidia/Minitron-8B-Base,17747.0,69.0,1.0223063466952553,Popular Root,2025-08,37.0,0.1789208319783163
nvidia/Minitron-8B-Base,18926.0,69.0,0.9761519249296612,Popular Root,2025-09,56.0,0.1745556870024762
nvidia/Minitron-8B-Base,11581.0,69.0,1.3666927089974148,Popular Root,2025-10,56.0,0.2497182525588382
nvidia/Minitron-8B-Base,10813.0,69.0,1.024338272161679,Popular Root,2025-11,89.0,0.1764457011105828
nvidia/Minitron-8B-Base,9528.0,69.0,0.8920903297066667,Popular Root,2025-12,55.0,0.1615341957713476
nvidia/Minitron-8B-Base,9149.0,69.0,1.037323112544471,Popular Root,2026-01,30.0,0.1954875292731835
nvidia/Minitron-8B-Base,8220.0,69.0,1.3373469253003933,Popular Root,2026-02,45.0,0.2434687593373653
nvidia/Mistral-NeMo-12B-Base,169.0,24.0,2.188205914229773,Hidden Root,2024-07,219.0,1.8558965922405413
nvidia/Mistral-NeMo-12B-Base,467.0,25.0,0.3506265988760482,Popular Root,2024-08,116.0,0.2308944160471986
nvidia/Mistral-NeMo-12B-Base,182.0,27.0,0.37346415901744434,Popular Root,2024-09,100.0,0.2475988486003169
nvidia/Mistral-NeMo-12B-Base,70.0,28.0,0.32783686192252887,Hidden Root,2024-10,75.0,0.238593793034825
nvidia/Mistral-NeMo-12B-Base,39.0,29.0,0.24673302522094467,Hidden Root,2024-11,82.0,0.2028459520811253
nvidia/Mistral-NeMo-12B-Base,36.0,29.0,0.24682772482904342,Hidden Root,2024-12,51.0,0.1918775380863641
nvidia/Mistral-NeMo-12B-Base,33.0,33.0,0.23365027642412156,Hidden Root,2025-01,119.0,0.1811518922358358
nvidia/Mistral-NeMo-12B-Base,48.0,35.0,0.2283374284760981,Hidden Root,2025-02,111.0,0.1825346650438559
nvidia/Mistral-NeMo-12B-Base,40.0,35.0,0.25308984407171353,Hidden Root,2025-03,61.0,0.1913654759481211
nvidia/Mistral-NeMo-12B-Base,35.0,37.0,0.313710731446695,Hidden Root,2025-04,48.0,0.2265555325290591
nvidia/Mistral-NeMo-12B-Base,226.0,38.0,0.3472700584712738,Popular Root,2025-05,29.0,0.1877114771442029
nvidia/Mistral-NeMo-12B-Base,107.0,39.0,0.2455762658576998,Popular Root,2025-06,73.0,0.1671328586157394
nvidia/Mistral-NeMo-12B-Base,78.0,39.0,0.25335495472113717,Popular Root,2025-07,46.0,0.1616196593713486
nvidia/Mistral-NeMo-12B-Base,83.0,40.0,0.29280265073412703,Popular Root,2025-08,37.0,0.1789208319783163
nvidia/Mistral-NeMo-12B-Base,162.0,40.0,0.28203216729318054,Popular Root,2025-09,56.0,0.1745556870024762
nvidia/Mistral-NeMo-12B-Base,292.0,40.0,0.4578075714104113,Popular Root,2025-10,56.0,0.2497182525588382
nvidia/Mistral-NeMo-12B-Base,165.0,40.0,23.573645194759738,Popular Root,2025-11,89.0,0.1764457011105828
nvidia/Mistral-NeMo-12B-Base,162.0,40.0,140.33071918588894,Popular Root,2025-12,55.0,0.1615341957713476
nvidia/Mistral-NeMo-12B-Base,59.0,42.0,34.958758489956566,Popular Root,2026-01,30.0,0.1954875292731835
nvidia/Mistral-NeMo-12B-Base,115.0,42.0,2.940823814659234,Popular Root,2026-02,45.0,0.2434687593373653
nvidia/Nemotron-Mini-4B-Instruct,2839.0,105.0,38.99130020076207,Popular Root,2024-09,100.0,0.2475988486003169
nvidia/Nemotron-Mini-4B-Instruct,81.0,126.0,15.273225403420998,Popular Root,2024-10,75.0,0.238593793034825
nvidia/Nemotron-Mini-4B-Instruct,57.0,132.0,58.374118395764235,Hidden Root,2024-11,82.0,0.2028459520811253
nvidia/Nemotron-Mini-4B-Instruct,30.0,140.0,1.866642928935944,Hidden Root,2024-12,51.0,0.1918775380863641
nvidia/Nemotron-Mini-4B-Instruct,94.0,148.0,7.287741644331007,Hidden Root,2025-01,119.0,0.1811518922358358
nvidia/Nemotron-Mini-4B-Instruct,2656.0,159.0,15.302094054401849,Popular Root,2025-02,111.0,0.1825346650438559
nvidia/Nemotron-Mini-4B-Instruct,1944.0,161.0,2.501406853437432,Popular Root,2025-03,61.0,0.1913654759481211
nvidia/Nemotron-Mini-4B-Instruct,524.0,160.0,29.572102310621094,Popular Root,2025-04,48.0,0.2265555325290591
nvidia/Nemotron-Mini-4B-Instruct,2299.0,164.0,2.7033658505444564,Popular Root,2025-05,29.0,0.1877114771442029
nvidia/Nemotron-Mini-4B-Instruct,3850.0,167.0,2.3818833580141283,Popular Root,2025-06,73.0,0.1671328586157394
nvidia/Nemotron-Mini-4B-Instruct,1703.0,167.0,1.9002758265602142,Popular Root,2025-07,46.0,0.1616196593713486
nvidia/Nemotron-Mini-4B-Instruct,2399.0,169.0,2.055632841169213,Popular Root,2025-08,37.0,0.1789208319783163
nvidia/Nemotron-Mini-4B-Instruct,3845.0,169.0,2.466299316332792,Popular Root,2025-09,56.0,0.1745556870024762
nvidia/Nemotron-Mini-4B-Instruct,1783.0,170.0,3.734993036729549,Popular Root,2025-10,56.0,0.2497182525588382
nvidia/Nemotron-Mini-4B-Instruct,1341.0,171.0,2.605061886829728,Popular Root,2025-11,89.0,0.1764457011105828
nvidia/Nemotron-Mini-4B-Instruct,5622.0,173.0,2.6059930390896917,Popular Root,2025-12,55.0,0.1615341957713476
nvidia/Nemotron-Mini-4B-Instruct,16620.0,176.0,22.099270653268704,Popular Root,2026-01,30.0,0.1954875292731835
nvidia/Nemotron-Mini-4B-Instruct,23173.0,176.0,35.94116076345106,Popular Root,2026-02,45.0,0.2434687593373653
