model_id,Downloads,Likes,S_C3_Q10,role,month,download_p90,modelrank_p90
NousResearch/Hermes-2-Pro-Llama-3-70B,118.0,33.0,0.8258362143912611,Popular Root,2025-08,37.0,0.1789208319783163
NousResearch/Hermes-2-Pro-Llama-3-70B,180.0,33.0,0.759572617850661,Popular Root,2025-09,56.0,0.1745556870024762
NousResearch/Hermes-2-Pro-Llama-3-70B,117.0,33.0,1.1952685976873274,Popular Root,2025-10,56.0,0.2497182525588382
NousResearch/Hermes-2-Pro-Llama-3-70B,116.0,33.0,0.825930556421596,Popular Root,2025-11,89.0,0.1764457011105828
NousResearch/Hermes-2-Pro-Llama-3-70B,148.0,33.0,20.151882985904255,Popular Root,2025-12,55.0,0.1615341957713476
NousResearch/Hermes-2-Pro-Llama-3-70B,57.0,33.0,0.6789873063367964,Popular Root,2026-01,30.0,0.1954875292731835
NousResearch/Hermes-2-Pro-Llama-3-70B,15.0,33.0,1.0271638163200687,Hidden Root,2026-02,45.0,0.2434687593373653
Qwen/Qwen2-Math-72B,672.0,26.0,0.3655743886493439,Popular Root,2024-08,116.0,0.2308944160471986
Qwen/Qwen2-Math-72B,262.0,27.0,0.38932090915069645,Popular Root,2024-09,100.0,0.2475988486003169
Qwen/Qwen2-Math-72B,190.0,28.0,0.37035668856385545,Popular Root,2024-10,75.0,0.238593793034825
Qwen/Qwen2-Math-72B,198.0,28.0,0.3013868889240926,Popular Root,2024-11,82.0,0.2028459520811253
Qwen/Qwen2-Math-72B,118.0,28.0,0.28675543151098964,Popular Root,2024-12,51.0,0.1918775380863641
Qwen/Qwen2-Math-72B,59.0,28.0,0.24719740480969288,Hidden Root,2025-01,119.0,0.1811518922358358
Qwen/Qwen2-Math-72B,46.0,30.0,13.327907871028687,Hidden Root,2025-02,111.0,0.1825346650438559
Qwen/Qwen2-Math-72B,77.0,30.0,0.4550298136168037,Popular Root,2025-03,61.0,0.1913654759481211
Qwen/Qwen2-Math-72B,124.0,30.0,0.739257090877993,Popular Root,2025-04,48.0,0.2265555325290591
