horizon,covariate,pairs,hr_mean,control_mean,standardized_mean_difference,absolute_smd,passes_0_10
1,log_downloads,24351,1.7594564561519028,1.7554508101712956,0.005092617402450763,0.005092617402450763,True
1,log_likes,24351,0.07602961332808017,0.07602961332808017,0.0,0.0,True
1,model_age_days,24351,345.6203441337111,345.19547451850025,0.0023111425040345753,0.0023111425040345753,True
1,log_parameters,24351,22.445650355685768,22.452753269935453,-0.005389896711991914,0.005389896711991914,True
1,download_trend,24351,-0.009490711331085706,-0.009935765624279,0.00038281226571782037,0.00038281226571782037,True
3,log_downloads,20368,1.7967975654573427,1.793026056444581,0.004751237371372167,0.004751237371372167,True
3,log_likes,20368,0.06941643128888586,0.06941643128888586,0.0,0.0,True
3,model_age_days,20368,326.0088373919874,325.6671739984289,0.0019835356049996387,0.0019835356049996387,True
3,log_parameters,20368,22.45684768872774,22.464994414447798,-0.006272838616083574,0.006272838616083574,True
3,download_trend,20368,0.06328297684210289,0.06256933485201657,0.0005963489173083428,0.0005963489173083428,True
6,log_downloads,13477,2.0111575177147545,2.0075234984464845,0.005177536032199397,0.005177536032199397,True
6,log_likes,13477,0.05326463565886064,0.05326463565886064,0.0,0.0,True
6,model_age_days,13477,298.56288491504046,298.5591748905543,2.391802077658377e-05,2.391802077658377e-05,True
6,log_parameters,13477,22.433716770837314,22.445407590172586,-0.009201504145463288,0.009201504145463288,True
6,download_trend,13477,0.03706096374356478,0.036374533977168326,0.000589151377841037,0.000589151377841037,True
