horizon,origin_month,future_month,pairs,hr_future_download_p90_crossing,control_future_download_p90_crossing,hr_future_pr,control_future_pr,hr_future_log_download_change,control_future_log_download_change,hr_future_active_parent,control_future_active_parent
1,2025-02,2025-03,1535,0.0026058631921824105,0.001954397394136808,0.0026058631921824105,0.0013029315960912053,-0.8812236255545816,-0.9031834962276659,0.009120521172638436,0.014332247557003257
1,2025-03,2025-04,1454,0.0020632737276478678,0.0020632737276478678,0.0020632737276478678,0.0020632737276478678,-0.718897520744503,-0.689697671765697,0.001375515818431912,0.002751031636863824
1,2025-04,2025-05,1687,0.01066982809721399,0.006520450503852994,0.01007705986959099,0.004742145820983995,1.2555712112349833,1.2507782473949136,0.0005927682276229994,0.0035566093657379964
1,2025-05,2025-06,2692,0.021173848439821695,0.021545319465081723,0.021173848439821695,0.020802377414561663,-0.3234944727230331,-0.3604872531416297,0.009286775631500743,0.007800891530460624
1,2025-06,2025-07,2039,0.00196174595389897,0.000980872976949485,0.00196174595389897,0.000980872976949485,-0.5781459967087937,-0.5994819976014798,0.0,0.0014713094654242277
1,2025-07,2025-08,1533,0.010437051532941943,0.007175472928897586,0.010437051532941943,0.005218525766470972,0.1926852712121206,0.1843244154842455,0.002609262883235486,0.010437051532941943
1,2025-08,2025-09,2537,0.0007883326763894363,0.0027591643673630273,0.0007883326763894363,0.0027591643673630273,-0.5350732386904369,-0.5642172303090484,0.005124162396531336,0.005912495072920773
1,2025-09,2025-10,2520,0.00753968253968254,0.006349206349206349,0.00753968253968254,0.004761904761904762,-0.8045727081298673,-0.8425062446995777,0.001984126984126984,0.0015873015873015873
1,2025-10,2025-11,2027,0.0014800197335964479,0.005426739023186976,0.0014800197335964479,0.00493339911198816,1.1924938764205266,1.130487860469657,0.001973359644795264,0.000986679822397632
1,2025-11,2025-12,2344,0.007252559726962458,0.0034129692832764505,0.007252559726962458,0.0034129692832764505,0.12205815730068646,0.0630674787179826,0.001279863481228669,0.0029863481228668944
1,2025-12,2026-01,1955,0.009207161125319692,0.007161125319693095,0.0076726342710997444,0.006138107416879796,-1.0922443082793831,-1.0843357781559124,0.0010230179028132991,0.0005115089514066496
1,2026-01,2026-02,2028,0.009368836291913214,0.009368836291913214,0.008875739644970414,0.007889546351084813,0.10091496938034218,0.0049222578167951855,0.0029585798816568047,0.0039447731755424065
3,2025-02,2025-05,1535,0.010423452768729642,0.009120521172638436,0.009771986970684038,0.0071661237785016286,-0.041852541936735536,-0.07025144410553834,0.011726384364820847,0.015635179153094463
3,2025-03,2025-06,1454,0.007565337001375516,0.006189821182943604,0.007565337001375516,0.005502063273727648,0.21061416565812133,0.21877656690645056,0.011691884456671253,0.011691884456671253
3,2025-04,2025-07,1687,0.022525192649673977,0.02015411973918198,0.022525192649673977,0.02015411973918198,0.3740116272349298,0.3551200584337585,0.005334914048606995,0.013633669235328987
3,2025-05,2025-08,2692,0.031575037147102525,0.029346210995542348,0.031203566121842496,0.0274888558692422,-0.6729988186439791,-0.7070063580301839,0.01263001485884101,0.011144130757800892
3,2025-06,2025-09,2039,0.0029426189308484553,0.00196174595389897,0.0029426189308484553,0.00196174595389897,-0.692282389986415,-0.7295913355404752,0.00196174595389897,0.005394801373222168
3,2025-07,2025-10,1533,0.007827788649706457,0.007827788649706457,0.007827788649706457,0.007175472928897586,-1.0740218559093053,-1.134282975676781,0.006523157208088715,0.015003261578604044
3,2025-08,2025-11,2537,0.0035474970437524636,0.001970831690973591,0.0035474970437524636,0.001970831690973591,0.07416079559496808,0.010507490850874043,0.0063066614111154905,0.008671659440283799
3,2025-09,2025-12,2520,0.03571428571428571,0.034523809523809526,0.03531746031746032,0.034126984126984124,0.6815267981291412,0.6214231556191772,0.0035714285714285713,0.0035714285714285713
3,2025-10,2026-01,2027,0.04736063147508633,0.034040453872718306,0.04440059200789344,0.028120374938332512,0.36462349627211615,0.3029794124021445,0.003453379378391712,0.00493339911198816
3,2025-11,2026-02,2344,0.007679180887372013,0.008105802047781569,0.007252559726962458,0.0063993174061433445,-0.8114512798545149,-0.7964907912086241,0.0038395904436860067,0.005119453924914676
6,2025-02,2025-08,1535,0.007817589576547232,0.016286644951140065,0.0071661237785016286,0.012377850162866449,-1.0433928018802316,-1.0189354262340993,0.018892508143322474,0.020195439739413682
6,2025-03,2025-09,1454,0.0041265474552957355,0.004814305364511692,0.0041265474552957355,0.0034387895460797797,-0.48789171796355596,-0.47751735743853674,0.013067400275103164,0.013067400275103164
6,2025-04,2025-10,1687,0.029045643153526972,0.02074688796680498,0.029045643153526972,0.02074688796680498,-0.6786264294975033,-0.7483756470970974,0.008298755186721992,0.014819205690574985
6,2025-05,2025-11,2692,0.020059435364041606,0.021916790490341752,0.020059435364041606,0.021916790490341752,-0.508612900275154,-0.5733893884269118,0.015230312035661218,0.0137444279346211
6,2025-06,2025-12,2039,0.027954879843060325,0.01569396763119176,0.02746444335458558,0.01569396763119176,-0.03862028788486554,-0.11747911444080641,0.0029426189308484553,0.00784698381559588
6,2025-07,2026-01,1533,0.0319634703196347,0.033920417482061316,0.02609262883235486,0.023483365949119372,-0.6311676821076238,-0.6180419972996558,0.0091324200913242,0.016307893020221786
6,2025-08,2026-02,2537,0.032715806070161606,0.029562475364603862,0.03232163973196689,0.027197477335435555,-0.6241429492920134,-0.6807259487296621,0.008671659440283799,0.010248324793062672
