month,total_events,single_typed_events,excluded_unknown_or_multiple,finetune,finetune_pct,adapter,adapter_pct,quantized,quantized_pct,merge,merge_pct
2024-08,35318,35236,82,5130,14.558973776819162,26296,74.62822113747303,3077,8.732546259507322,733,2.0802588262004766
2024-09,55069,54957,112,4949,9.00522226467966,45076,82.02048874574668,3857,7.018214240224175,1075,1.9560747493494914
2024-10,15445,15318,127,5436,35.487661574618095,5050,32.967750359054705,3461,22.594333463898682,1371,8.950254602428515
2024-11,18012,17951,61,6468,36.031418862458914,4155,23.1463428221269,6085,33.89783298980558,1243,6.924405325608602
2024-12,26526,26474,52,7617,28.771624990556774,8810,33.27793306640478,7710,29.12291304676286,2337,8.827528896275592
2025-01,47911,47853,58,9411,19.66647859068397,29650,61.960587632959275,6517,13.618790880404573,2275,4.754142895952187
2025-02,20969,20936,33,6995,33.41134887275506,6566,31.362246847535346,5336,25.487199082919375,2039,9.739205196790218
2025-03,21977,21850,127,8443,38.640732265446225,5472,25.043478260869566,5559,25.441647597254004,2376,10.874141876430206
2025-04,22022,21979,43,10679,48.58728786568998,4930,22.430501842668,4847,22.052868647345193,1523,6.929341644296829
2025-05,27246,27179,67,11063,40.704220169984175,6663,24.515250745060523,6752,24.842709444791936,2701,9.937819640163362
2025-06,20844,20799,45,9517,45.75700754843983,5352,25.732006346458963,5008,24.078080676955622,922,4.432905428145584
2025-07,13788,13775,13,6507,47.23774954627949,2829,20.53720508166969,3857,28.0,582,4.2250453720508165
2025-08,16537,16514,23,8659,52.434298171248635,2878,17.427637156352187,3890,23.555770861087563,1087,6.582293811311614
2025-09,15937,15919,18,7641,47.99924618380552,3212,20.177146805703877,3877,24.35454488347258,1189,7.469062127018029
2025-10,17328,17304,24,9099,52.583217753120664,4073,23.53791030975497,3698,21.370781322237633,434,2.5080906148867315
2025-11,14281,14274,7,8723,61.111111111111114,2025,14.186633039092056,3095,21.68277987950119,431,3.0194759702956424
2025-12,19401,19376,25,9267,47.82720891824938,4144,21.387283236994218,4880,25.18579686209744,1085,5.5997109826589595
2026-01,19947,19932,15,9727,48.800923138671486,4372,21.934577563716637,4659,23.374473208910295,1174,5.890026088701585
2026-02,27831,27831,0,13478,48.42801192914376,9150,32.87700765333621,4563,16.39538643958176,640,2.29959397793827
