month,total_events,n_active_bases,top1_share,top10_share,top50_share,gini,median_derivs,mean_derivs,top1_model,top1_count
2024-08,35318,2627,18.514638427997056,72.01710176114163,80.48303980972875,0.8955478585743327,1.0,13.444232965359726,Qwen/Qwen1.5-0.5B,6539
2024-09,55069,2873,23.96629682761626,78.87922424594599,86.08291416223284,0.9266044028920286,1.0,19.167768882701008,Qwen/Qwen1.5-0.5B,13198
2024-10,15445,3044,11.557138232437682,29.582389122693428,46.55228229200389,0.7273107831655626,1.0,5.073915900131406,black-forest-labs/FLUX.1-dev,1785
2024-11,18012,4832,10.126582278481013,23.339995558516545,39.55696202531646,0.6665489655167343,1.0,3.7276490066225167,black-forest-labs/FLUX.1-dev,1824
2024-12,26526,6274,8.00723818140692,20.79846188645103,32.077961245570386,0.6919604395814636,1.0,4.227924768887472,black-forest-labs/FLUX.1-dev,2124
2025-01,47911,4866,6.775062094299848,14.324476633758428,28.899417670263613,0.8249964185975293,1.0,9.846074804767776,black-forest-labs/FLUX.1-dev,3246
2025-02,20969,4230,11.555152844675474,23.1150746339835,36.45858171586628,0.6989159275648044,1.0,4.957210401891253,black-forest-labs/FLUX.1-dev,2423
2025-03,21977,5104,13.914547026436729,25.76784820494153,39.08176730217955,0.6993219738989023,1.0,4.305838557993731,black-forest-labs/FLUX.1-dev,3058
2025-04,22022,4027,7.823994187630551,24.24847879393334,38.05739714830624,0.7206825501743893,1.0,5.468587037496896,black-forest-labs/FLUX.1-dev,1723
2025-05,27246,5014,7.579094178962049,15.334361007120311,30.881597298686046,0.7185887296528394,1.0,5.4339848424411645,black-forest-labs/FLUX.1-dev,2065
2025-06,20844,4795,9.278449433889849,19.526002686624448,36.07273076184993,0.6988921125980995,1.0,4.3470281543274245,black-forest-labs/FLUX.1-dev,1934
2025-07,13788,3332,6.433130258195533,18.29852045256745,35.8355091383812,0.6646779686635316,1.0,4.138055222088836,black-forest-labs/FLUX.1-dev,887
2025-08,16537,3702,5.986575557839995,18.249984882384954,37.40097962145492,0.6979122042750295,1.0,4.467044840626689,black-forest-labs/FLUX.1-dev,990
2025-09,15937,3781,4.91937001945159,18.63587877266738,36.625462759615985,0.6785222499919803,1.0,4.215022480825178,black-forest-labs/FLUX.1-dev,784
2025-10,17328,3410,4.010849492151431,17.947830101569714,37.41343490304709,0.7157107781415261,1.0,5.081524926686217,black-forest-labs/FLUX.1-dev,695
2025-11,14281,3169,3.28408374763672,13.276381205797913,32.16861564316224,0.6851550061693915,1.0,4.5064689176396335,lerobot/smolvla_base,469
2025-12,19401,4459,3.097778465027576,13.282820473171485,32.33338487706819,0.6779049116694241,1.0,4.350975555057188,google/vit-large-patch16-224-in21k,601
2026-01,19947,4225,4.49190354439264,16.649120168446384,37.16849651576678,0.7007821614853326,1.0,4.721183431952663,lerobot/smolvla_base,896
2026-02,27831,4281,15.748625633286624,37.54805792102332,54.34587330674428,0.7838141196450082,1.0,6.501051156271899,Qwen/Qwen3-4B-Instruct-2507,4383
