stratum_type,stratum_value,method,total_pairs,decisive_expert_pairs,direction_coverage_numerator,direction_coverage_denominator,direction_coverage,method_ties,numerator,denominator,agreement,wilson_ci95_low,wilson_ci95_high
assigned_comparator,Downloads,Full ModelRank,40,24,40,40,1.0,0,14.0,24,0.5833333333333334,0.3883466586522876,0.7553239739018824
assigned_comparator,Downloads,AllTime DerivCount,40,24,13,40,0.325,27,7.0,24,0.2916666666666667,0.14914648196960875,0.49167693664496637
assigned_comparator,Downloads,Current DerivCount,40,24,0,40,0.0,40,0.0,24,0.0,1.3877787807814457e-17,0.13797620467498017
assigned_comparator,Downloads,Vanilla PageRank,40,24,15,40,0.375,25,7.0,24,0.2916666666666667,0.14914648196960875,0.49167693664496637
assigned_comparator,Downloads,Downloads,40,24,25,40,0.625,15,7.0,24,0.2916666666666667,0.14914648196960875,0.49167693664496637
assigned_comparator,Downloads,Likes,40,24,25,40,0.625,15,8.0,24,0.3333333333333333,0.1797219032729775,0.5329368316186824
assigned_comparator,Full ModelRank,S3,40,22,40,40,1.0,0,15.0,22,0.6818181818181818,0.47318597741042745,0.8363940681864375
assigned_comparator,Full ModelRank,Full ModelRank,40,22,40,40,1.0,0,7.0,22,0.3181818181818182,0.1636059318135624,0.5268140225895723
assigned_comparator,Full ModelRank,AllTime DerivCount,40,22,7,40,0.175,33,4.0,22,0.18181818181818182,0.07306884583422052,0.38516607437126543
assigned_comparator,Full ModelRank,Current DerivCount,40,22,0,40,0.0,40,0.0,22,0.0,0.0,0.14865487460862087
assigned_comparator,Full ModelRank,Vanilla PageRank,40,22,7,40,0.175,33,4.0,22,0.18181818181818182,0.07306884583422052,0.38516607437126543
assigned_comparator,Full ModelRank,Downloads,40,22,40,40,1.0,0,12.0,22,0.5454545454545454,0.3465979532073494,0.7307970581918668
assigned_comparator,Full ModelRank,Likes,40,22,3,40,0.075,37,1.0,22,0.045454545454545456,0.00806942762126385,0.21798045838657332
assigned_comparator,Likes,S3,40,19,40,40,1.0,0,8.0,19,0.42105263157894735,0.23141891282454238,0.6372409646574496
assigned_comparator,Likes,Full ModelRank,40,19,40,40,1.0,0,8.0,19,0.42105263157894735,0.23141891282454238,0.6372409646574496
assigned_comparator,Likes,AllTime DerivCount,40,19,0,40,0.0,40,0.0,19,0.0,0.0,0.16817922405261626
assigned_comparator,Likes,Current DerivCount,40,19,0,40,0.0,40,0.0,19,0.0,0.0,0.16817922405261626
assigned_comparator,Likes,Vanilla PageRank,40,19,0,40,0.0,40,0.0,19,0.0,0.0,0.16817922405261626
assigned_comparator,Likes,Downloads,40,19,40,40,1.0,0,8.0,19,0.42105263157894735,0.23141891282454238,0.6372409646574496
assigned_comparator,Likes,Likes,40,19,0,40,0.0,40,0.0,19,0.0,0.0,0.16817922405261626
assigned_comparator,Vanilla PageRank,S3,40,26,40,40,1.0,0,17.0,26,0.6538461538461539,0.46220571188810816,0.8058776967705947
assigned_comparator,Vanilla PageRank,Full ModelRank,40,26,40,40,1.0,0,17.0,26,0.6538461538461539,0.46220571188810816,0.8058776967705947
assigned_comparator,Vanilla PageRank,AllTime DerivCount,40,26,2,40,0.05,38,1.0,26,0.038461538461538464,0.006821984993543487,0.18892778903034757
assigned_comparator,Vanilla PageRank,Current DerivCount,40,26,0,40,0.0,40,0.0,26,0.0,0.0,0.1287289218592153
assigned_comparator,Vanilla PageRank,Vanilla PageRank,40,26,2,40,0.05,38,1.0,26,0.038461538461538464,0.006821984993543487,0.18892778903034757
assigned_comparator,Vanilla PageRank,Downloads,40,26,38,40,0.95,2,17.0,26,0.6538461538461539,0.46220571188810816,0.8058776967705947
assigned_comparator,Vanilla PageRank,Likes,40,26,9,40,0.225,31,5.0,26,0.19230769230769232,0.0850706114894241,0.3787625711931699
relation_type,opposite_order,S3,65,38,65,65,1.0,0,24.0,38,0.631578947368421,0.47283959557009003,0.7661578075284404
relation_type,opposite_order,Full ModelRank,65,38,65,65,1.0,0,17.0,38,0.4473684210526316,0.3014640099805125,0.6029370287800753
relation_type,opposite_order,AllTime DerivCount,65,38,17,65,0.26153846153846155,48,8.0,38,0.21052631578947367,0.11074791842995879,0.363457794753274
relation_type,opposite_order,Current DerivCount,65,38,0,65,0.0,65,0.0,38,0.0,0.0,0.09180986822558396
relation_type,opposite_order,Vanilla PageRank,65,38,18,65,0.27692307692307694,47,8.0,38,0.21052631578947367,0.11074791842995879,0.363457794753274
relation_type,opposite_order,Downloads,65,38,65,65,1.0,0,19.0,38,0.5,0.34849928364395105,0.6515007163560489
relation_type,opposite_order,Likes,65,38,17,65,0.26153846153846155,48,6.0,38,0.15789473684210525,0.07443863415158927,0.3041681177922313
relation_type,s3_order_baseline_tie,S3,175,101,175,175,1.0,0,52.0,101,0.5148514851485149,0.41863926595785556,0.6099753683074952
relation_type,s3_order_baseline_tie,Full ModelRank,175,101,175,175,1.0,0,49.0,101,0.48514851485148514,0.39002463169250473,0.5813607340421444
relation_type,s3_order_baseline_tie,AllTime DerivCount,175,101,6,175,0.03428571428571429,169,4.0,101,0.039603960396039604,0.015507146202925828,0.0974391915711991
relation_type,s3_order_baseline_tie,Current DerivCount,175,101,0,175,0.0,175,0.0,101,0.0,0.0,0.03664064639985608
relation_type,s3_order_baseline_tie,Vanilla PageRank,175,101,7,175,0.04,168,4.0,101,0.039603960396039604,0.015507146202925828,0.0974391915711991
relation_type,s3_order_baseline_tie,Downloads,175,101,157,175,0.8971428571428571,18,45.0,101,0.44554455445544555,0.35237950540611346,0.542700168954267
relation_type,s3_order_baseline_tie,Likes,175,101,30,175,0.17142857142857143,145,11.0,101,0.10891089108910891,0.06191128093458513,0.18457001674451023
