model_id,role,Downloads,AllTime DerivCount,desc_count
MuXodious/LFM2.5-1.2B-Thinking-absolute-heresy,Hidden Root,29,11,21
YOYO-AI/Qwen3-30B-A3B-YOYO-V2,Hidden Root,24,50,71
