comparator,s3_numerator,comparator_numerator,denominator,s3_agreement,comparator_agreement,paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_seed,bootstrap_replicates,s3_only_correct,comparator_only_correct,both_correct,both_wrong,mcnemar_p_raw,holm_p_adjusted,holm_family_size,holm_reject_0_05
Full ModelRank,76.0,66.0,139,0.5467625899280576,0.4748201438848921,0.07194244604316546,-0.007194244604316547,0.1510791366906475,2026081701,10000,21,11,55,52,0.11018416518345475,0.11018416518345475,6,False
AllTime DerivCount,76.0,12.0,139,0.5467625899280576,0.08633093525179857,0.460431654676259,0.381294964028777,0.5467625899280576,2026081701,10000,64,0,12,63,1.0842021724855044e-19,5.421010862427522e-19,6,True
Current DerivCount,76.0,0.0,139,0.5467625899280576,0.0,0.5467625899280576,0.460431654676259,0.6330935251798561,2026081701,10000,76,0,0,63,2.6469779601696886e-23,1.5881867761018131e-22,6,True
Vanilla PageRank,76.0,12.0,139,0.5467625899280576,0.08633093525179857,0.460431654676259,0.381294964028777,0.5467625899280576,2026081701,10000,64,0,12,63,1.0842021724855044e-19,5.421010862427522e-19,6,True
Downloads,76.0,64.0,139,0.5467625899280576,0.460431654676259,0.08633093525179857,0.014388489208633094,0.15827338129496402,2026081701,10000,20,8,56,55,0.03569813817739487,0.07139627635478973,6,False
Likes,76.0,17.0,139,0.5467625899280576,0.1223021582733813,0.4244604316546763,0.3381294964028777,0.5107913669064749,2026081701,10000,60,1,16,62,5.377642775528102e-17,1.6132928326584306e-16,6,True
