metric,hr_n,pl_n,hr_median,pl_median,mann_whitney_u,p_value,signed_r,absolute_r
desc_count,24193,24394,2.0,0.0,567873162.5,0.0,-0.9244586999083892,0.9244586999083892
desc_depth,24193,24394,1.0,0.0,567278009.5,0.0,-0.9224417928871376,0.9224417928871376
desc_breadth,24193,24394,2.0,0.0,574554514.0,0.0,-0.9471010536423023,0.9471010536423023
active_months,24193,24394,1.0,0.0,574023815.5,0.0,-0.945302575720125,0.945302575720125
type_diversity,24193,24394,1.0,0.0,573874307.5,0.0,-0.944795909812479,0.944795909812479
