relation,edges,mean_downloads_30d,positive_download_pct,share_of_single_typed_edges_pct
finetune,259159,939.3502058581797,46.941452930440384,36.75685718864839
adapter,272162,26.39073786935722,30.73977998398013,38.6010895480262
quantized,128738,1112.989793223446,89.65806521772903,18.25907755760833
merge,45004,226.8437694427162,79.11074571149231,6.382975705717078
