download_band,deriv_band,n,n_hi,n_lo,median_score,mr_hi_desc_count_mean,mr_lo_desc_count_mean,desc_count_effect_r,desc_count_p_value,mr_hi_desc_depth_mean,mr_lo_desc_depth_mean,desc_depth_effect_r,desc_depth_p_value,mr_hi_active_months_mean,mr_lo_active_months_mean,active_months_effect_r,active_months_p_value,mr_hi_type_diversity_mean,mr_lo_type_diversity_mean,type_diversity_effect_r,type_diversity_p_value
1-2,1,9141,4571,4570,0.14617475682132175,7.161671406694378,3.435010940919037,-0.0051586756389702115,0.39196940204994635,1.5344563552833077,1.359956236323851,-0.005971764721651618,0.3216626763299806,1.0,1.0,0.0,1.0,0.9997812294902647,0.9971553610503282,0.0026258684399365073,0.0013284156947313468
1-2,2,3238,1619,1619,0.33923993433236654,59.44224830142063,4.505250154416307,0.06729804082999857,3.992211780114214e-07,3.5917232859789996,1.3817171093267449,0.06664451363346235,5.132574503486004e-07,1.134651019147622,1.20568252007412,-0.07103150092649779,7.56477399614199e-08,1.1883878937615813,1.131562693020383,0.056825200741198234,1.0352418580937979e-05
1-2,3-4,1608,804,804,0.4316090103797253,16.916666666666668,7.786069651741293,0.20232172470978438,6.322295460821589e-14,2.298507462686567,1.6206467661691542,0.19918906710229956,2.604938943662986e-16,1.462686567164179,1.3606965174129353,0.08247320610875963,0.0006797028674845157,1.462686567164179,1.2798507462686568,0.17855684265240956,1.0742816371056945e-13
1-2,5-8,401,201,200,0.6064791366579199,43.233830845771145,16.755,0.3844029850746269,1.9135763970889862e-11,3.18407960199005,2.17,0.2962686567164179,5.8322920316425714e-08,1.9751243781094527,1.6,0.18059701492537306,0.0007217858924132864,1.7661691542288558,1.47,0.25689054726368155,5.747803826853078e-07
1-2,9+,330,165,165,0.3620974639414948,90.73939393939393,11.648484848484848,0.7636730945821855,5.704510910317481e-35,3.7818181818181817,1.1696969696969697,0.6363269054178144,3.2635427803121804e-29,2.4060606060606062,1.2303030303030302,0.5507070707070707,1.796397056499886e-22,1.8242424242424242,1.0727272727272728,0.6563085399449036,2.939564279298069e-33
3,1,2412,1207,1205,0.20756585598501773,2.900579950289975,1.391701244813278,-0.011630633201208718,0.3096711886599549,1.4183927091963546,1.1510373443983402,-0.012106419331217921,0.29026006191029996,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,2,809,405,404,0.385459246059413,13.587654320987655,2.8366336633663365,-0.08473902945850142,0.0003153896635832212,1.5851851851851853,1.358910891089109,-0.08599193252658599,0.0002549186640983238,1.0839506172839506,1.2772277227722773,-0.19327710548832666,9.157052395914781e-13,1.0716049382716049,1.1633663366336633,-0.09176139836205843,5.1036186625923005e-05
3,3-4,350,175,175,0.48990609276469665,21.457142857142856,7.748571428571428,0.3251591836734693,1.553807870503858e-08,2.4685714285714284,1.5257142857142858,0.24747755102040814,1.987215401342843e-06,1.5714285714285714,1.4857142857142858,0.07879183673469381,0.14894980701110774,1.5142857142857142,1.3714285714285714,0.14955102040816337,0.004991915782430919
3,5-8,157,79,78,0.7646372033758642,112.26582278481013,25.474358974358974,0.4000324569944824,1.4088504179337155e-05,4.772151898734177,2.5,0.3184031158714704,0.00037086106273195835,2.2531645569620253,1.7307692307692308,0.2481337228172671,0.004410374455740308,1.8734177215189873,1.564102564102564,0.2723141837065888,0.0005589087920165065
4,1,1960,980,980,0.1999897215908794,6.228571428571429,3.33265306122449,0.007895668471470163,0.597018508930921,1.670408163265306,1.3938775510204082,0.006736776343190254,0.6518661140525803,1.0,1.0,0.0,1.0,1.0,0.9938775510204082,0.00612244897959191,0.014198391619686425
4,2,924,462,462,0.4183562305610873,49.3008658008658,6.510822510822511,0.06298607597308892,0.012615292463737677,3.4761904761904763,1.4285714285714286,0.06067165158074239,0.01624671877230752,1.1255411255411256,1.277056277056277,-0.1515151515151515,9.475848531421413e-09,1.1948051948051948,1.1796536796536796,0.015151515151515138,0.5553094525298136
4,3-4,454,227,227,0.5515896151836515,30.370044052863435,5.440528634361233,0.2386811310136039,2.959630527707807e-06,2.5242290748898677,1.5682819383259912,0.1776669448271846,0.00012005817580015748,1.7004405286343611,1.497797356828194,0.17130159715888138,0.00043305556925661695,1.4625550660792952,1.4008810572687225,0.07060102078441277,0.1295426250885729
4,5-8,191,96,95,0.7471499107699413,85.90625,28.16842105263158,0.4091008771929825,9.702414387448583e-07,4.427083333333333,2.8105263157894735,0.3286184210526315,5.45463384301943e-05,2.2708333333333335,1.694736842105263,0.30043859649122817,0.0001463277462371136,1.9270833333333333,1.5894736842105264,0.293640350877193,5.131035743624615e-05
4,9+,107,54,53,1.1774177298898014,175.16666666666666,26.735849056603772,0.629979035639413,1.9393763834414028e-08,5.962962962962963,2.0377358490566038,0.5345911949685536,1.0536938967535206e-06,3.7222222222222223,2.1132075471698113,0.4825296995108317,1.0756060191602687e-05,2.1296296296296298,1.490566037735849,0.45842068483577925,8.460545366020873e-06
5-7,1,2646,1323,1323,0.21398538682691423,3.7785336356764927,3.875283446712018,0.02998007803104441,0.011420211176802001,1.5933484504913076,1.4467120181405895,0.029636142690888434,0.012390965075309322,1.0,1.0,0.0,1.0,1.0,0.9954648526077098,0.0045351473922903285,0.014226243619020208
