download_band,deriv_band,n,metric,high_mean,low_mean,signed_effect_r,raw_p_value,bh_p_value,bh_significant,favorable_and_significant
1-2,1,9141,desc_count,7.161671406694378,3.435010940919037,-0.0051586756389702115,0.39196940204994635,0.4131569372958894,False,False
1-2,2,3238,desc_count,59.44224830142063,4.505250154416307,0.06729804082999857,3.992211780114214e-07,7.414107591640683e-07,True,True
1-2,3-4,1608,desc_count,16.916666666666668,7.786069651741293,0.20232172470978438,6.322295460821589e-14,2.0547460247670163e-13,True,True
1-2,5-8,401,desc_count,43.233830845771145,16.755,0.3844029850746269,1.9135763970889862e-11,4.3899693815570863e-11,True,True
1-2,9+,330,desc_count,90.73939393939393,11.648484848484848,0.7636730945821855,5.704510910317481e-35,1.1123796275119089e-33,True,True
3,1,2412,desc_count,2.900579950289975,1.391701244813278,-0.011630633201208718,0.3096711886599549,0.34506218164966407,False,False
3,2,809,desc_count,13.587654320987655,2.8366336633663365,-0.08473902945850142,0.0003153896635832212,0.00043929274570520097,True,False
3,3-4,350,desc_count,21.457142857142856,7.748571428571428,0.3251591836734693,1.553807870503858e-08,3.189395102613182e-08,True,True
3,5-8,157,desc_count,112.26582278481013,25.474358974358974,0.4000324569944824,1.4088504179337155e-05,2.1132756269005733e-05,True,True
4,1,1960,desc_count,6.228571428571429,3.33265306122449,0.007895668471470163,0.597018508930921,0.61272952232384,False,False
4,2,924,desc_count,49.3008658008658,6.510822510822511,0.06298607597308892,0.012615292463737677,0.015870851809218368,True,True
4,3-4,454,desc_count,30.370044052863435,5.440528634361233,0.2386811310136039,2.959630527707807e-06,4.809399607525186e-06,True,True
4,5-8,191,desc_count,85.90625,28.16842105263158,0.4091008771929825,9.702414387448583e-07,1.719973459593158e-06,True,True
4,9+,107,desc_count,175.16666666666666,26.735849056603772,0.629979035639413,1.9393763834414028e-08,3.7817839477107355e-08,True,True
5-7,1,2646,desc_count,3.7785336356764927,3.875283446712018,0.02998007803104441,0.011420211176802001,0.014846274529842602,True,True
5-7,2,1465,desc_count,19.687585266030013,5.766393442622951,-0.016384123931146077,0.3700374719620796,0.4008739279589195,False,False
5-7,3-4,1040,desc_count,29.657692307692308,10.692307692307692,0.21064349112426028,5.697593975042203e-10,1.2344786945924774e-09,True,True
5-7,5-8,454,desc_count,95.58590308370044,32.23788546255506,0.3715965766849736,5.959934758059665e-12,1.4527340972770433e-11,True,True
5-7,9+,277,desc_count,188.85611510791367,54.69565217391305,0.5255969137733292,3.848417461887089e-14,1.3644389183054223e-13,True,True
8-16,1,2088,desc_count,5.832375478927203,1.4540229885057472,0.03475983910981939,0.00192828706056996,0.002593213633180291,True,True
8-16,2,1352,desc_count,7.994082840236686,5.705621301775148,-0.007726882812226443,0.6429482661559515,0.6429482661559515,False,False
8-16,3-4,1062,desc_count,39.03954802259887,10.576271186440678,0.30878383889970595,1.888102676721665e-20,1.0519429198877848e-19,True,True
8-16,5-8,534,desc_count,123.19475655430712,31.38951310861423,0.4053781088246433,3.713076947850569e-16,1.4481000096617219e-15,True,True
8-16,9+,447,desc_count,342.63392857142856,89.22421524663677,0.5568345611787315,2.3067053917890287e-24,1.4993585046628687e-23,True,True
17-43,1,1434,desc_count,1.284518828451883,1.5690376569037656,0.028302492369998156,0.014206659414625416,0.017314366161574724,True,True
17-43,2,828,desc_count,3.36231884057971,2.248792270531401,0.04088193423417108,0.03018133196033043,0.03566884686220869,True,True
17-43,3-4,593,desc_count,9.457912457912458,4.462837837837838,0.30084630084630093,4.7312373744025684e-12,1.2301217173446677e-11,True,True
17-43,5-8,340,desc_count,50.14705882352941,16.31764705882353,0.4373356401384083,1.8174443210637743e-12,5.062880608677657e-12,True,True
17-43,9+,388,desc_count,341.1185567010309,52.45876288659794,0.6844244871931129,1.9822575525434735e-31,2.5769348183065154e-30,True,True
44-140,1,1420,desc_count,5.095774647887324,1.4140845070422534,0.05110493949613182,1.724719467268948e-06,2.924524314064738e-06,True,True
44-140,2,1080,desc_count,12.553703703703704,2.346296296296296,0.02914951989026071,0.08678196446194586,0.09954401805929083,False,False
44-140,3-4,805,desc_count,26.94044665012407,5.256218905472637,0.3209016949989507,4.080675311327819e-17,1.7682926349087215e-16,True,True
44-140,5-8,470,desc_count,60.242553191489364,11.506382978723405,0.23942055228610237,5.782261864970721e-06,9.020328509354324e-06,True,True
