role,n,downloads_median,likes_median,score_median,cumulative_median,current_mean,parent_percent,zero_download_percent,downloads_min,downloads_max,score_min,score_max
Hidden Root,24193,5,1,0.4569481957438995,2,0.08882734675319308,94.9654858843467,10.850245938907948,0,44,0.2434687593373653,379.4819897165044
Long Tail,624623,0,0,0,0,0,4.245761043061175,56.30324211564416,0,44,0,0.24345406475920317
Popular Leaf,24394,69,0,0.21304560742827616,0,0,0.5698122489136673,0,45,154,0.1845903268157911,0.24345406475920317
Popular Root,48154,291,2,0.35230221995416644,0,0.5333305644390912,31.40964405864518,0,45,199768964,0.2434687593373653,77532.44169487775
