month,percentile,threshold_rule,n,pr_n,pr_share,pl_n,pl_share,hr_n,hr_share,lt_n,lt_share,effect_status,hr_median_desc_breadth,pl_median_desc_breadth,mann_whitney_u,p_value,signed_rank_biserial,absolute_rank_biserial,download_boundary,modelrank_boundary,download_boundary_tie_n,modelrank_boundary_tie_n,download_high_n,modelrank_high_n,exact_modelrank
2024-07,0.9,exact_top_decile,136705,9600,0.0702242054058008,4093,0.029940382575619,4071,0.0297794521048974,118941,0.8700559599136828,estimable,1.0,0.0,15900249.0,0.0,-0.908495209301932,0.908495209301932,219.0,1.8558965922405413,42,2,13693,13671,True
2024-07,0.9,p90_with_ties,136705,9601,0.0702315204271972,4092,0.0299330675542225,4071,0.0297794521048974,118941,0.8700559599136828,estimable,1.0,0.0,15897404.5,0.0,-0.9086200992980652,0.9086200992980652,219.0,1.8558965922405413,42,2,13693,13672,False
2024-08,0.9,exact_top_decile,174484,11843,0.0678744182847711,5624,0.0322321817473235,5606,0.0321290204259416,151411,0.8677643795419637,estimable,2.0,0.0,30241086.0,0.0,-0.9183549783330094,0.9183549783330094,116.0,0.2308944160471986,73,12,17467,17449,True
2024-08,0.9,p90_with_ties,174484,11845,0.0678858806538135,5622,0.0322207193782811,5609,0.0321462139795052,151408,0.8677471859884001,estimable,2.0,0.0,30238751.0,0.0,-0.9178629228233148,0.9178629228233148,116.0,0.2308944160471986,73,12,17467,17454,False
2024-09,0.9,exact_top_decile,254016,18182,0.0715781683043587,7281,0.0286635487528344,7220,0.0284234063995968,221333,0.8713348765432098,estimable,1.0,0.0,49916394.0,0.0,-0.8990874818951615,0.8990874818951615,100.0,0.2475988486003169,68,39,25463,25402,True
2024-09,0.9,p90_with_ties,254016,18204,0.0716647770219198,7259,0.0285769400352733,7231,0.0284667107583774,221322,0.8712915721844293,estimable,1.0,0.0,49805459.0,0.0,-0.8977184703726127,0.8977184703726127,100.0,0.2475988486003169,68,39,25463,25435,False
2024-10,0.9,exact_top_decile,278265,20771,0.0746446732431315,7084,0.0254577471115663,7056,0.0253571236051964,243354,0.8745404560401057,estimable,1.0,0.0,47651247.0,0.0,-0.9066331572154552,0.9066331572154552,75.0,0.238593793034825,136,26,27855,27827,True
2024-10,0.9,p90_with_ties,278265,20790,0.0747129534795967,7065,0.025389466875101,7057,0.0253607173018525,243353,0.8745368623434496,estimable,1.0,0.0,47526892.5,0.0,-0.9065014123694624,0.9065014123694624,75.0,0.238593793034825,136,26,27855,27847,False
2024-11,0.9,exact_top_decile,306140,21310,0.0696086757692558,9408,0.0307310380871496,9304,0.0303913242307441,266118,0.8692689619128503,estimable,1.0,0.0,84869468.5,0.0,-0.9391636766755282,0.9391636766755282,82.0,0.2028459520811253,157,39,30718,30614,True
2024-11,0.9,p90_with_ties,306140,21329,0.0696707388776376,9389,0.0306689749787678,9304,0.0303913242307441,266118,0.8692689619128503,estimable,1.0,0.0,84697993.5,0.0,-0.9391619320536362,0.9391619320536362,82.0,0.2028459520811253,157,39,30718,30633,False
2024-12,0.9,exact_top_decile,343340,23893,0.0695899108755169,10738,0.0312751208714393,10441,0.030410089124483,298268,0.8687248791285606,estimable,1.0,0.0,108956856.5,0.0,-0.9436544869664628,0.9436544869664628,51.0,0.1918775380863641,309,32,34631,34334,True
2024-12,0.9,p90_with_ties,343340,23906,0.0696277742179763,10725,0.03123725752898,10441,0.030410089124483,298268,0.8687248791285606,estimable,1.0,0.0,108824516.5,0.0,-0.9436467896308908,0.9436467896308908,51.0,0.1918775380863641,309,32,34631,34347,False
2025-01,0.9,exact_top_decile,399316,24651,0.061733063538651,15394,0.0385509220767512,15281,0.038267938174278,343990,0.8614480762103196,estimable,1.0,0.0,218959056.5,0.0,-0.8616140617151355,0.8616140617151355,119.0,0.1811518922358358,554,34,40045,39932,True
2025-01,0.9,p90_with_ties,399316,24667,0.0617731320558154,15378,0.0385108535595868,15287,0.0382829638682146,343984,0.861433050516383,estimable,1.0,0.0,218777015.5,0.0,-0.8612708125316808,0.8612708125316808,119.0,0.1811518922358358,554,34,40045,39954,False
2025-02,0.9,exact_top_decile,434003,26711,0.0615456575184964,16852,0.0388292246827786,16690,0.0384559553735803,373750,0.8611691624251445,estimable,2.0,0.0,272556101.0,0.0,-0.938108634619342,0.938108634619342,111.0,0.1825346650438559,410,0,43563,43401,True
2025-02,0.9,p90_with_ties,434003,26711,0.0615456575184964,16852,0.0388292246827786,16690,0.0384559553735803,373750,0.8611691624251445,estimable,2.0,0.0,272556101.0,0.0,-0.938108634619342,0.938108634619342,111.0,0.1825346650438559,410,0,43563,43401,False
2025-03,0.9,exact_top_decile,467627,29251,0.0625519912237745,17729,0.0379126953747324,17512,0.0374486503131769,403135,0.8620866630883162,estimable,2.0,0.0,305203537.0,0.0,-0.9660726846844274,0.9660726846844274,61.0,0.1913654759481211,380,38,46980,46763,True
2025-03,0.9,p90_with_ties,467627,29288,0.0626311141144544,17692,0.0378335724840524,17512,0.0374486503131769,403135,0.8620866630883162,estimable,2.0,0.0,304566175.0,0.0,-0.9660700412324092,0.9660700412324092,61.0,0.1913654759481211,380,38,46980,46800,False
2025-04,0.9,exact_top_decile,499532,31438,0.0629349070730203,18521,0.0370767037947518,18516,0.0370666944259827,431057,0.862921694706245,estimable,2.0,0.0,336666911.5,0.0,-0.96344539054061,0.96344539054061,48.0,0.2265555325290591,621,87,49959,49954,True
2025-04,0.9,p90_with_ties,499532,31457,0.0629729426743431,18502,0.037038668193429,18518,0.0370706981734903,431055,0.8629176909587374,estimable,2.0,0.0,336339736.0,0.0,-0.963339563714248,0.963339563714248,48.0,0.2265555325290591,621,87,49959,49975,False
