month,percentile,threshold_rule,n,pr_n,pr_share,pl_n,pl_share,hr_n,hr_share,lt_n,lt_share,effect_status,hr_median_desc_breadth,pl_median_desc_breadth,mann_whitney_u,p_value,signed_rank_biserial,absolute_rank_biserial,download_boundary,modelrank_boundary,download_boundary_tie_n,modelrank_boundary_tie_n,download_high_n,modelrank_high_n,exact_modelrank
2024-10,0.7,percentile_with_ties,278265,82141,0.2951898370258566,6763,0.0243041704849693,4577,0.0164483495948107,184784,0.6640576428943633,estimable,1.0,0.0,23919646.5,0.0,-0.5454837850865784,0.5454837850865784,6.0,0.0893472817938003,7718,4928,88904,86718,False
2024-10,0.8,percentile_with_ties,278265,48806,0.1753939589959211,7429,0.0266975724579088,7113,0.0255619643145922,214917,0.7723465042315778,estimable,1.0,0.0,44264811.0,0.0,-0.6753495866592325,0.6753495866592325,13.0,0.1287175091288146,2554,975,56235,55919,False
2024-10,0.85,percentile_with_ties,278265,34759,0.1249133020681724,7200,0.0258746159236698,7131,0.0256266508544013,229175,0.8235854311537563,estimable,1.0,0.0,47331314.0,0.0,-0.8437227909440783,0.8437227909440783,22.0,0.1713945184491397,782,235,41959,41890,False
2024-10,0.9,percentile_with_ties,278265,20790,0.0747129534795967,7065,0.025389466875101,7057,0.0253607173018525,243353,0.8745368623434496,estimable,1.0,0.0,47526892.5,0.0,-0.9065014123694624,0.9065014123694624,75.0,0.238593793034825,136,26,27855,27847,False
2024-10,0.95,percentile_with_ties,278265,8272,0.0297270587389718,5643,0.0202792302301762,5642,0.0202756365335202,258708,0.9297180744973316,estimable,2.0,0.0,31434577.5,0.0,-0.9746698312063338,0.9746698312063338,372.0,0.368049817079796,13,0,13915,13914,False
2024-11,0.5,percentile_with_ties,306140,155123,0.5067060821846214,0,0.0,2469,0.0080649376102436,148548,0.4852289802051349,not_estimable_empty_group,0.0,,,,,,3.0,0.048242721410283,5934,6099,155123,157592,False
2024-11,0.7,percentile_with_ties,306140,87869,0.2870222773894296,4664,0.0152348598680342,7908,0.025831319004377,205699,0.671911543738159,estimable,1.0,0.0,30169164.0,0.0,-0.635942628391164,0.635942628391164,15.0,0.0985951655626621,5527,4738,92533,95777,False
2024-11,0.8,percentile_with_ties,306140,51203,0.1672535441301365,13333,0.0435519696870712,10239,0.0334454824590056,231365,0.7557490037237865,estimable,1.0,0.0,117388427.5,0.0,-0.7197679795496206,0.7197679795496206,21.0,0.1195019562069231,3387,621,64536,61442,False
2024-11,0.85,percentile_with_ties,306140,36322,0.1186450643496439,10015,0.0327137910759783,9709,0.0317142483830927,250094,0.816926896191285,estimable,1.0,0.0,91715108.5,0.0,-0.8864505487108714,0.8864505487108714,31.0,0.1529258087360726,777,119,46337,46031,False
2024-11,0.9,percentile_with_ties,306140,21329,0.0696707388776376,9389,0.0306689749787678,9304,0.0303913242307441,266118,0.8692689619128503,estimable,1.0,0.0,84697993.5,0.0,-0.9391619320536362,0.9391619320536362,82.0,0.2028459520811253,157,39,30718,30633,False
